iso3,cfr,cfr.sd,cfr.lo,cfr.hi
CYP,0.100450121555482,0.00923213959075112,0.0830839103528874,0.11924491139319
CZE,0.0569619332473054,0.00438311890036095,0.0486759138289586,0.065848260919096
DEU,0.0702801234393863,0.00409082002319507,0.0624732274139872,0.0785040125018534
DJI,0.116697780349688,0.0280096732012838,0.0676480987012905,0.176852810641054
DMA,0.279155583314367,0.0259160146263155,0.229812478087681,0.331300543678228
DNK,0.0522281798393566,0.0050316777450674,0.0428082994932674,0.0625156786145336
DOM,0.129080695658537,0.0350249940311979,0.0686349693699837,0.204975066211341
DZA,0.11560537380831,0.0283009165283261,0.0661789390781789,0.176495859315473
ECU,0.138728054687633,0.0229273323051674,0.0969292492854841,0.186568022788138
EGY,0.045215436686951,0.0040921522265426,0.0375349698046426,0.0535641588569484
ERI,0.222156003822746,0.0988130128603651,0.0639882361100796,0.442775643101849
ESP,0.0819153890050965,0.00898452353255579,0.0651758308225106,0.100355794225193
EST,0.162085173923319,0.0149899624439818,0.13379044694516,0.192500850042434
ETH,0.150242605531958,0.0397396641065623,0.0811545320705145,0.23587622644421
FIN,0.160019655285082,0.0122276339459535,0.136784622423768,0.184688748322775
FJI,0.0809075842242243,0.0106534166364785,0.0612726798027908,0.10296722715563
FRA,0.103892322127148,0.00952277729247018,0.0859738747593099,0.123273344894869
FSM,0.111789618908788,0.0266456785588544,0.065122074236593,0.169019049858643
GAB,0.34250923772577,0.101184851853335,0.160904317276315,0.552505597799489
GBR,0.0805617317394407,0.0052916857997112,0.0704947199250265,0.091229566063749
GEO,0.0605808629608135,0.00673261903888371,0.0480628891963264,0.074424881774301
GHA,0.385827107966441,0.150591686659917,0.121836975621016,0.695302590474317
GIN,0.143678470202917,0.0371497183802427,0.0789682511370651,0.223657252496125
GMB,0.230309272333365,0.0494593488219517,0.140994742276227,0.333905363869037
GNB,0.385620631109247,0.0963521659819777,0.207512869743931,0.581405010570479
GNQ,0.371773111342676,0.0933254508876377,0.20004544263047,0.562319909282917
GRC,0.129444494993185,0.010622096631071,0.109342180777941,0.150953441914913
GRD,0.928455079115477,0.125604444362016,0.536786482617761,0.999999972969232
GRL,0.0954898587072655,0.0217803684816889,0.0572249693378119,0.142194648057292
GTM,0.158320509211257,0.0254605762090498,0.111705485402769,0.211257289095798
GUM,0.0845474896625426,0.0196398037071484,0.0501728469608518,0.126781426239067
GUY,0.27165859264238,0.0415344734329435,0.194274670854067,0.35664968656789
HKG,0.0414374215593653,0.00320043316469751,0.0353920051891873,0.0479307889505879
HND,0.220417221668444,0.0373134894423539,0.151829030257274,0.297652134406872
HRV,0.3702171740183,0.0282114668363465,0.315810822113491,0.426307898063199
