iso3,scenario,hiv,measure,year,best,lo,hi
COL,COVID,a,mort,2019,3.1982,2.8198,3.5338
COL,COVID,pos,mort,2019,1.005,0.71815,1.401
COL,Baseline,a,inc,2020,34.9484,27.2678,45.1201
COL,Baseline,pos,inc,2020,4.4098,3.3697,5.6454
COL,COVID,a,inc,2020,34.426,26.7742,44.604
COL,COVID,pos,inc,2020,4.3426,3.3112,5.5017
COL,Baseline,a,mort,2020,3.2088,2.8275,3.5464
COL,Baseline,pos,mort,2020,1.0107,0.72318,1.3976
COL,COVID,a,mort,2020,3.5976,3.1574,4.0149
COL,COVID,pos,mort,2020,1.1089,0.80041,1.5411
COL,Baseline,a,inc,2021,35.0172,27.2966,45.2464
COL,Baseline,pos,inc,2021,4.4228,3.3177,5.7115
COL,COVID,a,inc,2021,40.9592,32.988,51.8387
COL,COVID,pos,inc,2021,5.712,4.1876,7.6937
COL,Baseline,a,mort,2021,3.2046,2.8343,3.5577
COL,Baseline,pos,mort,2021,1.014,0.72663,1.3982
COL,COVID,a,mort,2021,5.0056,4.2478,5.8382
COL,COVID,pos,mort,2021,1.6223,1.1107,2.2642
COL,Baseline,a,inc,2022,35.0771,27.4013,45.4627
COL,Baseline,pos,inc,2022,4.4262,3.3436,5.7933
COL,COVID,a,inc,2022,47.3326,37.6285,60.5609
COL,COVID,pos,inc,2022,6.5283,4.663,8.892
COL,Baseline,a,mort,2022,3.2143,2.8419,3.5748
COL,Baseline,pos,mort,2022,1.0221,0.72163,1.3996
COL,COVID,a,mort,2022,5.2548,4.4355,6.1685
COL,COVID,pos,mort,2022,1.766,1.1259,2.4935
COL,Baseline,a,inc,2023,35.1511,27.5062,45.6762
COL,Baseline,pos,inc,2023,4.4655,3.3209,5.8823
COL,COVID,a,inc,2023,46.4137,35.845,60.342
COL,COVID,pos,inc,2023,5.9097,4.1839,7.8663
COL,Baseline,a,mort,2023,3.2237,2.8405,3.599
COL,Baseline,pos,mort,2023,1.0301,0.71625,1.4013
COL,COVID,a,mort,2023,4.3556,3.6279,5.1323
COL,COVID,pos,mort,2023,1.4258,0.89277,1.9942
COL,Baseline,a,inc,2024,35.2553,27.4765,45.7181
