iso3,source_new,source_ret,year,e_rr_prop_new,e_rr_prop_new_lo,e_rr_prop_new_hi,e_rr_prop_new_se,e_rr_prop_ret,e_rr_prop_ret_lo,e_rr_prop_ret_hi,e_rr_prop_ret_se,e_inc_rr_num,e_inc_rr_num_lo,e_inc_rr_num_hi
MDA,Surveillance,Surveillance,2018,0.291743714410954,0.281049122457259,0.30225603852739,0.00540992756891103,0.572871699696429,0.554591769576612,0.591048047652556,0.00930007093774062,1016.61248700643,832.246487580728,1200.97848643213
MDA,Surveillance,Surveillance,2019,0.296222969321088,0.28401504426976,0.308239408767075,0.00617968482074358,0.570008104111471,0.549855209542402,0.590156539973023,0.0102809516404645,948.035677007127,785.025934936696,1111.04541907756
MDA,Surveillance,Surveillance,2020,0.30074356612615,0.286709384784436,0.314288443806709,0.00703547424037582,0.567139528064622,0.545510795417892,0.588916257312595,0.0110728219119139,932.763762480962,757.083731107368,1108.44379385456
MDA,Surveillance,Surveillance,2021,0.305304856725317,0.289408050619966,0.320754328292301,0.00799649940620789,0.564266251187707,0.540095417010475,0.588720613163537,0.0124043867737402,1008.9234123376,791.635974629285,1226.21085004592
MDG,Model,Model,2015,0.00842407180574989,0.00245038214735691,0.0209695679390658,0.00472428208972166,0.0667988845222565,0.0415826281772012,0.0991210015797895,0.0146781564802521,653.340624614909,0,1346.38885542392
MDG,Model,Model,2016,0.00875991210701282,0.002374536261104,0.0224244248193448,0.00511476748934714,0.0679914442601256,0.0457814154742126,0.0951436076674173,0.0125923959676543,695.55308181376,0,1460.4694526449
MDG,Model,Model,2017,0.00912689675019461,0.00230332770608054,0.0248858389961115,0.00576084471684464,0.0693188113186949,0.0504760817471767,0.0920281707348975,0.0106000227009492,741.931065160669,0,1616.58978884843
MDG,Model,Model,2018,0.00952770006153932,0.00219936441549978,0.0269753898741593,0.00632041465782129,0.0707871601303725,0.0550656344980888,0.0899273802694722,0.00889330249269985,792.707707945851,0,1771.06254722799
MDG,Model,Model,2019,0.00996526927672223,0.00213707326077516,0.0291932794989247,0.00690209342809938,0.072403002256668,0.0588275070905627,0.0891720719191322,0.0077409604154514,848.358375214995,0,1938.69347433411
MDG,Model,Model,2020,0.0104428423937326,0.00208442660702939,0.0315780389860178,0.00752388070892563,0.0741731639458839,0.0602870481063877,0.0912331906248625,0.00789442411185584,909.272084687107,0,2125.67128510847
MDG,Model,Model,2021,0.0109639641306421,0.00203712615658474,0.0347109338639829,0.00833515502739749,0.0761047453920376,0.059734025218342,0.094876582319696,0.0089649380360597,975.772968625677,0,2349.06785184827
MDV,Surveillance,Surveillance,2015,0.0091659015320716,0.00171044313959539,0.0269753795135283,0.00644513683008491,0.0676351758779362,0.00332673448450714,0.272362209937165,0.0686314988399637,2.0332463784269,0,4.54771134618198
MDV,Surveillance,Surveillance,2016,0.0088993090657623,0.00173794434133767,0.0250667449876832,0.00595122465467997,0.0652152458634721,0.00357023382929329,0.257838937137587,0.0648644651296668,2.17301403756863,0,4.75390686990555
MDV,Surveillance,Surveillance,2017,0.00866398561654567,0.00169218023392916,0.0239664620987954,0.00568221476144547,0.0633726130577951,0.00366574582521373,0.241982283581535,0.0607950351419186,1.69557661242564,0,3.64387964606523
MDV,Surveillance,Surveillance,2018,0.0084580275571323,0.00167157990101925,0.0232583801597093,0.00550683680068624,0.0620959274599363,0.00377257683032264,0.236784127554168,0.0594417221234298,1.67703207915726,0,3.58915743189078
MDV,Surveillance,Surveillance,2019,0.00827978637724316,0.00166561077942216,0.0227817343009472,0.00538676620447067,0.0613708434321348,0.0039124687230827,0.233736114133372,0.0586284809720127,1.83594585390879,0,3.93351741022688
MDV,Surveillance,Surveillance,2020,0.00812785449986252,0.00164300034948678,0.021839001844554,0.00515204119772124,0.0611826075747718,0.00388587289876796,0.229628607349017,0.0575874322577166,1.86559847143319,0,3.94954403214802
