"","iso3","g.whoregion","year","country","inc.num","inc.num.lo","inc.num.hi","inc.num.f","inc.num.f.lo","inc.num.f.hi","inc.num.m","inc.num.m.lo","inc.num.m.hi","inc.num.15plus","inc.num.15plus.lo","inc.num.15plus.hi","inc.num.15plus.f","inc.num.15plus.f.lo","inc.num.15plus.f.hi","inc.num.15plus.m","inc.num.15plus.m.lo","inc.num.15plus.m.hi","inc.num.014","inc.num.014.lo","inc.num.014.hi","inc.num.014.f","inc.num.014.f.lo","inc.num.014.f.hi","inc.num.014.m","inc.num.014.m.lo","inc.num.014.m.hi","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"141","NIC","AMR",2020,"Nicaragua",2743.51658608045,2096.64538661556,3475.99139013765,1088.44378860341,709.490161802144,1467.39741540467,1655.07279747704,1078.84107491028,2231.3045200438,2743.51658608045,2053.8435843194,3433.18958784149,1088.44378860341,709.490161802144,1467.39741540467,1655.07279747704,1078.84107491028,2231.3045200438,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.861,951.425,1954.286,2261.988,2408.28,4670.268,3359.705,3264.849,6624.554
"142","NIU","WPR",2020,"Niue",0.7704761908242,0.497895309173775,1.10158041565,0,0,0,0.7704761908242,0.468633637586087,1.07231874406231,0.7704761908242,0.468633637586087,1.07231874406231,0,0,0,0.7704761908242,0.468633637586087,1.07231874406231,0,0,0,0,0,0,0,0,0,0.244,0.228,0.472,0.576,0.57,1.146,0.798,0.82,1.618
"143","NLD","EUR",2020,"Netherlands",706.1,604.156523808593,815.873906246721,305.9,241.614069140414,370.185930859586,400.2,316.096601732572,484.303398267428,684.25,578.445239698835,790.054760301165,288.65,226.295381326127,351.004618673873,395.6,310.141877195968,481.058122804033,21.85,18.471360595425,25.228639404575,17.25,13.5236283661032,20.9763716338968,4.6,3.60630089762753,5.59369910237247,1381.002,1309.461,2690.463,7156.143,7288.267,14444.41,8597.728,8537.145,17134.873
"144","NOR","EUR",2020,"Norway",165.6,141.691441962053,191.345030133779,93.15,73.5529150379787,112.747084962021,72.45,57.2078228073168,87.6921771926832,152.95,128.207685470795,177.692314529205,87.4,67.6053481274815,107.194651872519,65.55,50.7040110956111,80.3959889043889,12.65,10.6036431592387,14.6963568407613,5.75,4.44772027154483,7.05227972845517,6.9,5.3372643258538,8.4627356741462,480.643,454.906,935.549,2259.34,2226.353,4485.693,2681.259,2739.983,5421.242
"145","NPL","SEA",2020,"Nepal",67247.5683119197,39943.2902699419,101528.303181322,22455.1442727238,8655.35094592207,36254.9375995255,44792.4240391959,17265.2709361003,72319.5771422915,67247.5683119197,36455.0618562297,98040.0747676096,22455.1442727238,8655.35094592207,36254.9375995255,44792.4240391959,17265.2709361003,72319.5771422915,NA,NA,NA,NA,NA,NA,NA,NA,NA,4245.701,4148.531,8394.232,9102.734,11639.842,20742.576,15788.373,13348.435,29136.808
"146","NRU","WPR",2020,"Nauru",19.55,16.7272716579092,22.5891514585855,13.5346153846154,10.8562886553745,16.2129421138563,6.01538461538462,4.82501718016643,7.2057520506028,19.55,16.6190600996618,22.4809399003382,13.5346153846154,10.8562886553745,16.2129421138563,6.01538461538462,4.82501718016643,7.2057520506028,0,0,0,0,0,0,0,0,0,1.637,1.542,3.179,3.837,3.819,7.656,5.361,5.474,10.834
"147","NZL","WPR",2020,"New Zealand",363.4,310.933908461879,419.895948175239,174.8,137.765727779552,211.834272220448,188.6,148.641969446359,228.558030553641,356.5,302.02918183864,410.97081816136,171.35,134.351982438894,208.348017561107,185.15,145.17227632659,225.12772367341,6.9,5.84572610010271,7.95427389989729,3.45,2.70507347192403,4.19492652807597,3.45,2.70507347192403,4.19492652807597,481.079,455.912,936.991,1889.084,1996.158,3885.242,2452.07,2370.163,4822.233
"148","OMN","EMR",2020,"Oman",359.95,307.982013871928,415.909603948542,106.95,85.9382892032799,127.96171079672,253,203.294877685178,302.705122314822,354.2,300.243314235412,408.156685764588,104.65,83.783210359237,125.516789640763,249.55,199.790732395104,299.309267604896,5.75,4.87407977654889,6.62592022345111,2.3,1.84138923866455,2.75861076133545,3.45,2.76208385799682,4.13791614200318,589.455,558.869,1148.324,2780.775,1177.523,3958.298,1736.392,3370.23,5106.622
"149","PAK","EMR",2020,"Pakistan",524829.696009256,357548.340034974,723618.882196342,217610.566204895,111813.971615732,323407.160794059,307219.129804361,157857.183402623,456581.076206099,524829.696009256,341794.424928572,707864.96708994,217610.566204895,111813.971615732,323407.160794059,307219.129804361,157857.183402623,456581.076206099,NA,NA,NA,NA,NA,NA,NA,NA,NA,39890.248,37023.502,76913.75,73781.759,70196.822,143978.581,107220.324,113672.007,220892.331
"150","PAN","AMR",2020,"Panama",1372.40953460386,1048.82238354714,1738.8228453215,452.17370375385,300.027058901896,604.320348605805,920.235830850006,610.596431269626,1229.87523043039,1372.40953460386,1027.40930371668,1717.40976549103,452.17370375385,300.027058901896,604.320348605805,920.235830850006,610.596431269626,1229.87523043039,NA,NA,NA,NA,NA,NA,NA,NA,NA,584.031,559.159,1143.19,1575.849,1595.729,3171.578,2154.888,2159.88,4314.768
"151","PER","AMR",2020,"Peru",33677.9210418275,24555.5276502381,44217.248040189,12760.619609059,7640.79706696651,17880.4421511515,20917.3014327684,12524.8506994824,29309.7521660545,33677.9210418274,23847.060846852,43508.7812368029,12760.619609059,7640.79706696651,17880.4421511515,20917.3014327684,12524.8506994824,29309.7521660545,NA,NA,NA,NA,NA,NA,NA,NA,NA,4084.879,4056.576,8141.455,12293.727,12536.664,24830.391,16593.24,16378.606,32971.846
"152","PHL","WPR",2020,"Philippines",623339.431481042,355382.951292539,964827.408651707,186023.197718457,66744.996717506,305301.398719407,437316.233762585,156908.766997826,717723.700527344,623339.431481042,318617.202801458,928061.660160626,186023.197718457,66744.996717506,305301.398719407,437316.233762585,156908.766997826,717723.700527344,NA,NA,NA,NA,NA,NA,NA,NA,NA,16874.956,16046.139,32921.095,38153.869,38506.121,76659.99,54552.26,55028.825,109581.085
