"","iso3","g.whoregion","year","country","inc","inc.sd","inc.f","inc.f.sd","inc.m","inc.m.sd","inc.15plus","inc.15plus.sd","inc.15plus.f","inc.15plus.f.sd","inc.15plus.m","inc.15plus.m.sd","inc.014","inc.014.sd","inc.014.f","inc.014.f.sd","inc.014.m","inc.014.m.sd","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"85","HTI","AMR",2020,"Haiti",164.309661693164,20.9777682529171,146.852735149112,26.3974544502461,182.230879074295,32.7568385083707,243.327660764711,31.0661663133283,214.387363046585,38.5371143750522,273.917990778631,49.2380184634617,NA,NA,NA,NA,NA,NA,1883.31,1819.538,3702.848,3743.135,3956.55,7699.685,5776.088,5626.445,11402.533
"86","HUN","EUR",2020,"Hungary",4.57126294595951,0.349655561472,3.38498422184477,0.357312902266197,5.87718733580846,0.620385421759924,5.27125910224961,0.408481907303291,3.8558256496228,0.412320321453479,6.86894526161207,0.734526396075845,0.413096376462271,0.0320117817174597,0.339339645050731,0.0362870742205147,0.483098552104629,0.0516598436749797,714.14,677.787,1391.927,3884.148,4384.275,8268.423,5062.062,4598.288,9660.35
"87","IDN","SEA",2020,"Indonesia",310.860327076057,14.9811766075148,265.484687508941,17.8887171676997,355.605962625088,23.9612105249331,368.876669526289,20.0379082988738,307.557439295174,23.3094112190877,430.059584101737,32.5937025536112,145.186327175919,7.88672895452396,142.550752167123,10.803751356067,147.69948736003,11.1939678507312,36313.89,34627.215,70941.105,101403.971,101178.545,202582.516,135805.76,137717.861,273523.621
"88","IND","SEA",2020,"India",205.33091606012,33.278079297806,167.516761150246,37.5281370068581,240.287126515525,53.8306026390459,246.133909984315,44.6933706279997,194.03804134722,48.4755330046998,294.636356405089,73.6074963452212,90.1628085196979,16.3719002322314,91.5899832924317,22.8814578170642,88.8697464635625,22.2018749411348,189408.211,171609.375,361017.586,527692.759,491294.04,1018986.799,662903.415,717100.97,1380004.385
"89","IRL","EUR",2020,"Ireland",5.33335115504974,0.407947631057495,4.04146220649279,0.425408762176465,6.64373715087188,0.699327088358668,6.58903617985109,0.515165741432591,4.82898055792099,0.517276136350975,8.40527481662576,0.900365621679824,0.561434583275388,0.0438959288527537,0.921877893448628,0.0987507464962306,0.218972302410902,0.023456119816675,527.484,501.17,1028.654,1923.865,1985.277,3909.142,2486.447,2451.349,4937.796
"90","IRN","EMR",2020,"Iran (Islamic Republic of)",12.362758650533,1.58560507492689,10.9948011502833,1.98020171195929,13.7041411340704,2.46816321311266,16.427757269779,2.10696787286271,14.5301440903575,2.61692920221661,18.3088703279619,3.29749086608417,NA,NA,NA,NA,NA,NA,10665.826,10117.975,20783.801,31742.58,31466.572,63209.152,41584.547,42408.406,83992.953
"91","IRQ","EMR",2020,"Iraq",26.162974714907,1.76114475877455,23.6649878439891,2.24015018770487,28.6004618632781,2.70734683803111,42.0044092345675,2.82750130575673,37.6324324614674,3.56232173868451,46.3522297553621,4.38774601836054,NA,NA,NA,NA,NA,NA,7796.53,7372.881,15169.411,12561.248,12491.844,25053.092,19864.725,20357.778,40222.503
"92","ISL","EUR",2020,"Iceland",2.83886253895585,0.217144384439297,2.63252288784213,0.283929347104622,3.04332424102644,0.328236107185606,3.52319311560545,0.269488779344103,3.2513860096246,0.35067649788015,3.79513271395516,0.409322007654774,0,0,0,0,0,0,33.955,32.328,66.283,137.45,137.517,274.967,169.845,171.405,341.25
"93","ISR","EUR",2020,"Israel",2.09923331193278,0.160570200123146,1.56069433301192,0.163661844582996,2.64268588805736,0.277124634814456,2.83503520822381,0.22240913094592,2.06459619112712,0.22170562203845,3.63132556241599,0.389948066406168,0.190973988097339,0.0149819510540105,0.196167233419391,0.0210653195504854,0.186048618548562,0.0199787371893701,1236.236,1172.469,2408.705,3071.881,3174.955,6246.836,4347.424,4308.117,8655.541
"94","ITA","EUR",2020,"Italy",6.61703947456027,0.506136853304807,7.51096613781176,0.801661138187106,5.67493974113453,0.605698197615168,7.60468138059527,0.581681508650199,8.56255816968044,0.913899756989073,6.5782170686287,0.70210687756011,NA,NA,NA,NA,NA,NA,4042.194,3810.158,7852.352,25395.531,27213.945,52609.476,31024.103,29437.725,60461.828
