iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
ARE,2020,inc,num,0-4,m,2.40615384615385,1.32113165594795,3.49117603635974,TRUE
ARE,2020,inc,num,0-4,f,0,0,0,TRUE
ARE,2020,inc,num,15-24,m,4.81230769230769,2.6422633118959,6.98235207271949,TRUE
ARE,2020,inc,num,15-24,f,0,0,0,TRUE
ARE,2020,inc,num,25-34,m,15.64,8.58735576366167,22.6926442363383,TRUE
ARE,2020,inc,num,25-34,f,3.60923076923077,1.98169748392192,5.23676405453962,TRUE
ARE,2020,inc,num,35-44,m,6.01538461538462,3.30282913986987,8.72794009089936,TRUE
ARE,2020,inc,num,35-44,f,4.81230769230769,2.6422633118959,6.98235207271949,TRUE
ARE,2020,inc,num,45-54,m,8.42153846153846,4.62396079581782,12.2191161272591,TRUE
ARE,2020,inc,num,45-54,f,4.81230769230769,2.6422633118959,6.98235207271949,TRUE
ARE,2020,inc,num,55-64,m,3.60923076923077,1.98169748392192,5.23676405453962,TRUE
ARE,2020,inc,num,55-64,f,2.40615384615385,1.32113165594795,3.49117603635974,TRUE
ARE,2020,inc,num,5-14,m,1.20307692307692,0.660565827973975,1.74558801817987,TRUE
ARE,2020,inc,num,5-14,f,0,0,0,TRUE
ARE,2020,inc,num,65plus,m,12.0307692307692,6.60565827973975,17.4558801817987,TRUE
ARE,2020,inc,num,65plus,f,8.42153846153846,4.62396079581782,12.2191161272591,TRUE
ARE,2020,inc,num,0-14,m,3.60923076923077,2.8547321377608,4.36372940070074,TRUE
ARE,2020,inc,num,0-14,f,0,0,0,TRUE
ARE,2020,inc,num,15plus,m,50.5292307692308,39.9662499286512,61.0922116098103,TRUE
ARE,2020,inc,num,15plus,f,24.0615384615385,19.031547585072,29.0915293380049,TRUE
ARE,2020,inc,num,0-14,a,3.60923076923077,3.04261479383119,4.17584674463035,TRUE
ARE,2020,inc,num,15plus,a,74.5907692307693,62.880705739178,86.3008327223605,TRUE
