Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,xx,hi,0.91423,1.0409,1.468,1.5717,1.1363,1.024
xx,ARM,Baseline,xx,lo,1.376,1.3582,1.3405,1.3249,1.3098,1.2943
xx,xx,xx,xx,md,1.579,1.5574,1.5402,1.5223,1.5059,1.4918
xx,xx,xx,xx,hi,1.8435,1.8118,1.79,1.7774,1.7597,1.7416
xx,xx,With COVID,xx,lo,1.376,1.5389,2.1042,2.249,1.5557,1.406
xx,xx,xx,xx,md,1.579,1.7773,2.5162,2.6541,1.8952,1.724
xx,xx,xx,xx,hi,1.8435,2.0717,2.9908,3.2513,2.4925,2.2943
xx,BLR,Baseline,xx,lo,3.0801,3.0173,2.9641,2.9011,2.8564,2.8174
xx,xx,xx,xx,md,3.1641,3.1188,3.0746,3.0403,3.0053,2.9755
xx,xx,xx,xx,hi,3.2853,3.2452,3.2399,3.2429,3.2462,3.2497
xx,xx,With COVID,xx,lo,3.0801,3.3709,4.4343,4.8081,3.3971,3.1252
xx,xx,xx,xx,md,3.1641,3.5672,5.0553,5.2979,3.7749,3.4215
xx,xx,xx,xx,hi,3.2853,3.7389,5.5798,6.4184,4.8626,4.4869
xx,CHE,Baseline,xx,lo,0.22036,0.21687,0.21425,0.21164,0.20916,0.20685
xx,xx,xx,xx,md,0.24583,0.24224,0.23969,0.2372,0.23491,0.23286
xx,xx,xx,xx,hi,0.27538,0.27297,0.27129,0.26853,0.26732,0.26664
xx,xx,With COVID,xx,lo,0.22036,0.24316,0.33244,0.3521,0.2544,0.23301
xx,xx,xx,xx,md,0.24583,0.27733,0.395,0.41582,0.29782,0.2707
xx,xx,xx,xx,hi,0.27538,0.31293,0.45622,0.51499,0.38617,0.35428
xx,DEU,Baseline,xx,lo,0.32606,0.32158,0.31536,0.31131,0.30757,0.30401
xx,xx,xx,xx,md,0.34669,0.34181,0.33769,0.33434,0.33063,0.32705
xx,xx,xx,xx,hi,0.36912,0.36625,0.3625,0.36027,0.35749,0.35654
xx,xx,With COVID,xx,lo,0.32606,0.36225,0.48611,0.51159,0.36165,0.33084
xx,xx,xx,xx,md,0.34669,0.39039,0.55464,0.58061,0.4184,0.37901
xx,xx,xx,xx,hi,0.36912,0.42142,0.62255,0.71569,0.53881,0.49778
xx,EST,Baseline,xx,lo,1.2883,1.2692,1.2488,1.2316,1.2192,1.2077
xx,xx,xx,xx,md,1.4902,1.4651,1.4406,1.4247,1.4161,1.4047
xx,xx,xx,xx,hi,1.7009,1.6755,1.6498,1.6368,1.6348,1.6237
xx,xx,With COVID,xx,lo,1.2883,1.4346,1.9543,2.1021,1.4645,1.3522
xx,xx,xx,xx,md,1.4902,1.6717,2.378,2.5094,1.8011,1.6341
