ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,md,65.1687,64.3603,72.8061,84.5643,81.2699,75.6316
xx,xx,xx,hi,75.1669,74.0236,84.5059,104.5065,101.8011,94.1372
RUS,Baseline,xx,lo,31.5228,30.7694,30.1624,29.9003,29.7646,29.5539
xx,xx,xx,md,49.7465,48.8702,48.2473,48.0815,47.5928,47.3934
xx,xx,xx,hi,70.748,69.772,69.0986,68.5282,68.0352,67.601
xx,COVID,xx,lo,31.5228,30.7829,33.8975,35.9821,33.6968,31.3625
xx,xx,xx,md,49.7465,48.4456,51.5699,56.589,55.0546,52.3202
xx,xx,xx,hi,70.748,69.0333,72.0548,79.3609,79.8443,77.6127
THA,Baseline,All,lo,114.2801,114.1134,113.5251,112.9996,112.9405,113.3532
xx,xx,xx,md,148.6236,147.326,145.7607,145.0514,143.819,143.6456
xx,xx,xx,hi,190.9341,189.3467,185.0239,181.2345,180.4319,178.9605
xx,xx,HIV +ve,lo,10.5889,9.7786,9.0693,8.2438,7.475,6.7
xx,xx,xx,md,14.4252,13.4203,12.5287,11.7487,11.0825,10.4139
xx,xx,xx,hi,18.4952,17.2174,16.0756,14.9702,14.164,13.5934
xx,COVID,All,lo,114.2801,111.6159,112.078,120.4573,119.7858,117.7635
xx,xx,xx,md,148.6236,143.8385,143.271,152.7988,153.557,150.1346
xx,xx,xx,hi,190.9341,184.1201,181.26,193.5911,194.332,189.9217
xx,xx,HIV +ve,lo,10.5889,9.498,8.9859,8.8195,7.9653,7.1535
xx,xx,xx,md,14.4252,12.7358,12.4623,13.2559,11.9315,10.9435
xx,xx,xx,hi,18.4952,16.1943,15.8228,17.0152,15.4611,14.316
TLS,Baseline,xx,lo,321.157,321.3026,320.5008,312.135,303.7495,299.4455
xx,xx,xx,md,494.0032,486.653,481.5923,477.4029,474.3048,471.4775
xx,xx,xx,hi,705.4244,696.6832,691.3826,687.9791,681.0982,675.3168
xx,COVID,xx,lo,321.157,314.52,332.344,348.984,339.9233,329.0918
xx,xx,xx,md,494.0032,472.5459,486.4055,512.098,508.9312,505.4349
xx,xx,xx,hi,705.4244,676.9799,695.626,737.1361,740.6668,732.7503
TUR,Baseline,xx,lo,12.9315,12.7268,12.5467,12.383,12.2304,12.0856
xx,xx,xx,md,15.8479,15.5875,15.3601,15.1339,14.9045,14.7145
xx,xx,xx,hi,17.9532,17.6399,17.369,17.1197,16.8853,16.6854
xx,COVID,xx,lo,12.9315,12.8314,14.1037,14.7616,13.2529,12.6454
xx,xx,xx,md,15.8479,15.6503,17.7109,20.5113,18.961,17.2282
xx,xx,xx,hi,17.9532,17.671,20.5078,25.9512,23.6186,21.1658
VNM,Baseline,xx,lo,111.1643,109.3384,108.3491,107.8559,107.1635,106.6761
xx,xx,xx,md,175.7536,173.5843,172.3825,172.1594,171.7055,171.5804
xx,xx,xx,hi,250.3915,245.8799,244.4832,243.5905,243.1091,241.4318
xx,COVID,xx,lo,111.1643,106.8395,109.9529,124.4844,125.7962,121.3689
xx,xx,xx,md,175.7536,170.5004,173.2361,199.423,204.5608,197.9576
xx,xx,xx,hi,250.3915,241.3688,245.5858,282.2238,294.7034,288.4775
ZAF,Baseline,All,lo,409.9444,383.0329,359.3686,338.7248,316.5197,288.8707
xx,xx,xx,md,599.9083,568.3872,533.2505,495.0166,466.1396,445.7299
xx,xx,xx,hi,810.3863,775.1195,740.2682,706.316,672.1318,638.546
xx,xx,HIV +ve,lo,236.2934,211.4281,188.8063,166.3889,144.2572,125.6314
xx,xx,xx,md,342.0715,309.011,284.0233,257.1095,235.5153,214.8744
xx,xx,xx,hi,471.3227,431.666,393.2865,357.093,327.4387,302.2413
xx,COVID,All,lo,409.9444,367.1869,352.5104,341.4019,319.2572,291.1285
xx,xx,xx,md,599.9082,543.1149,528.4644,503.3968,474.2605,450.9706
xx,xx,xx,hi,810.3863,738.5392,731.0433,714.8674,681.5763,647.3702
xx,xx,HIV +ve,lo,236.2934,204.5915,189.7727,170.9547,147.239,127.642
xx,xx,xx,md,342.0715,289.0059,279.5652,261.4749,238.2328,217.1195
xx,xx,xx,hi,471.3227,399.1265,388.3894,363.1637,330.9731,305.0538
ZWE,Baseline,All,lo,143.5258,134.5966,128.341,125.6381,122.996,118.1836
xx,xx,xx,md,193.3908,185.1888,180.9994,177.7135,175.1476,173.5694
xx,xx,xx,hi,254.1315,246.9168,242.6834,238.6954,235.6798,234.535
xx,xx,HIV +ve,lo,83.7976,78.9017,75.0776,72.6558,70.6934,68.6842
xx,xx,xx,md,116.6824,110.4849,107.465,104.9398,103.991,103.3424
xx,xx,xx,hi,152.1357,148.2809,145.6514,143.8515,142.6275,141.815
xx,COVID,All,lo,143.5258,131.2555,139.1073,138.6466,132.3659,128.368
xx,xx,xx,md,193.3908,181.1113,189.7081,189.7019,184.2455,180.7745
xx,xx,xx,hi,254.1315,241.2674,257.1151,257.097,249.2414,243.9468
xx,xx,HIV +ve,lo,83.7976,77.4143,80.1046,77.3422,73.7979,71.2713
xx,xx,xx,md,116.6824,107.8853,115.5632,113.8046,109.4989,106.1883
xx,xx,xx,hi,152.1357,144.1927,160.8601,158.3869,151.7931,148.2255
