Region,ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,HIV +ve,lo,9.5281,9.4865,9.4308,9.3787,9.3275,9.2774,9.2281,9.1797,9.1321,9.0854,9.0395,8.9944,8.9502,8.9082,8.8603,8.7798,8.6434,8.3579,8.1249,8.2477,8.2853,8.2795,8.2739,8.2682,8.2622,8.2559,8.2489,8.2414,8.2337,8.2258,8.2178,8.2097,8.2019,8.1938,8.1855,8.1769,8.168,8.1218,8.1049,8.0861,8.0634,8.0357,8.0043,7.9706,7.9503,7.9384,7.9255,7.9088,7.8852,7.8608,7.836,7.8108,7.7855,7.7601,7.7277,7.6829,7.6392,7.5965,7.555,7.5144,7.4747,7.4361,7.3983,7.3613,7.3252,7.2898,7.2552,7.2091,7.1588,7.1097,7.0617,7.0148
xx,xx,xx,xx,md,13.0178,12.9809,12.9214,12.8773,12.7854,12.7061,12.6723,12.6075,12.5634,12.4669,12.4081,12.3904,12.3304,12.2775,12.2356,12.2028,11.9117,11.5695,11.3849,11.4011,11.4563,11.507,11.6057,11.6455,11.67,11.7027,11.733,11.7708,11.7867,11.8395,11.8856,11.8909,11.9251,11.9566,11.9837,11.9946,11.9992,11.9704,11.9962,11.9952,11.9966,11.9743,11.9441,11.9083,11.8688,11.827,11.7905,11.7424,11.7111,11.6716,11.6351,11.5982,11.5574,11.4846,11.4446,11.4054,11.3669,11.3293,11.2923,11.2684,11.2367,11.196,11.1565,11.1358,11.1044,11.0685,11.0333,10.9987,10.9545,10.9231,10.892,10.8612
xx,xx,xx,xx,hi,17.2796,17.2317,17.1839,17.1367,17.0905,17.0453,17.001,16.9574,16.9147,16.8728,16.8316,16.7912,16.7518,16.729,16.7114,16.6964,16.3915,16.1903,16.0372,16.0533,16.0737,16.1348,16.2572,16.3447,16.4109,16.473,16.5234,16.5638,16.5956,16.6373,16.6839,16.7261,16.7643,16.7985,16.828,16.8551,16.8695,16.8751,16.8735,16.8662,16.8455,16.8078,16.76,16.7069,16.6514,16.594,16.5156,16.4444,16.3963,16.3564,16.3238,16.2905,16.2566,16.2219,16.187,16.1521,16.1152,16.0755,16.0361,15.9972,15.9586,15.9205,15.8827,15.8453,15.8083,15.7717,15.7353,15.6993,15.6636,15.6281,15.593,15.5581
xx,SWZ,Baseline,All,lo,18.6302,18.5994,18.5753,18.5515,18.5279,18.5045,18.4813,18.4583,18.4359,18.4141,18.3924,18.371,18.3496,18.2654,18.1767,18.0895,18.0042,17.9787,17.9533,17.9279,17.9025,17.8772,17.8519,17.8266,17.8014,17.7762,17.751,17.7259,17.7008,17.6732,17.6449,17.6167,17.5886,17.5607,17.5329,17.5053,17.4778,17.4504,17.4232,17.3961,17.3691,17.3422,17.3154,17.2888,17.2622,17.2358,17.2094,17.1832,17.157,17.1309,17.105,17.0791,17.0533,17.0275,17.0019,16.9763,16.9508,16.9253,16.8999,16.8746,16.8493,16.8241,16.799,16.7739,16.7488,16.7239,16.6989,16.674,16.6491,16.6243,16.5995,16.5748
xx,xx,xx,xx,md,30.4772,30.4086,30.3409,30.274,30.2007,30.0928,30.0569,30.0118,29.8867,29.7527,29.6536,29.6245,29.4856,29.4134,29.3419,29.2816,29.2468,29.2117,29.1765,29.141,29.1053,29.0592,28.9825,28.9066,28.8315,28.7572,28.718,28.6489,28.5386,28.4672,28.3965,28.3266,28.2573,28.1887,28.1208,28.0536,27.9871,27.8924,27.837,27.7822,27.7275,27.6642,27.5698,27.5069,27.4397,27.3851,27.3395,27.2971,27.238,27.1794,27.1214,27.0639,27.007,26.9512,26.8973,26.8435,26.7897,26.7351,26.6824,26.6289,26.5754,26.522,26.4687,26.4154,26.3632,26.3364,26.31,26.2838,26.2578,26.2319,26.2062,26.1742
xx,xx,xx,xx,hi,44.6005,44.5047,44.4228,44.3393,44.2552,44.1724,44.0908,44.0103,43.931,43.8528,43.7634,43.6271,43.4928,43.3606,43.1734,42.9546,42.7349,42.513,42.2952,42.0814,41.8716,41.7224,41.6087,41.506,41.4134,41.3218,41.2314,41.1421,41.0533,40.9529,40.8539,40.7564,40.6602,40.5654,40.472,40.3799,40.2891,40.1997,40.1115,40.0245,39.9388,39.8543,39.771,39.6889,39.608,39.5282,39.4495,39.3719,39.2954,39.22,39.1456,39.0723,39,38.9287,38.8584,38.7891,38.7354,38.6874,38.6401,38.5934,38.5473,38.5019,38.4571,38.4129,38.3693,38.3263,38.2838,38.2407,38.1975,38.1549,38.1128,38.0713
xx,xx,xx,HIV +ve,lo,10.7744,10.7523,10.7304,10.7088,10.6874,10.6663,10.6454,10.6246,10.604,10.5837,10.5634,10.4918,10.4078,10.3263,10.2518,10.1789,10.112,10.0926,10.0392,9.9786,9.9191,9.8607,9.8034,9.7502,9.6984,9.6475,9.5976,9.5567,9.5117,9.4673,9.4236,9.3806,9.3383,9.2965,9.2569,9.2182,9.1801,9.1426,9.1055,9.069,9.033,8.9974,8.9624,8.9278,8.8937,8.86,8.8267,8.7939,8.7616,8.7296,8.698,8.6668,8.636,8.6056,8.5756,8.5459,8.5165,8.4875,8.4588,8.4305,8.4025,8.3747,8.3473,8.3202,8.2934,8.2669,8.2406,8.2082,8.1673,8.127,8.0874,8.0484
xx,xx,xx,xx,md,17.9324,17.8486,17.7901,17.7361,17.6828,17.6302,17.551,17.4266,17.3567,17.2631,17.189,17.1296,17.0879,17.0325,16.9936,16.955,16.9168,16.8226,16.8066,16.7907,16.7434,16.6427,16.5439,16.4689,16.4357,16.4027,16.3773,16.3559,16.3134,16.2909,16.2685,16.242,16.193,16.1519,16.1107,16.0788,16.0469,16.0151,15.9833,15.934,15.8726,15.8117,15.7603,15.7019,15.6332,15.575,15.5173,15.4603,15.4039,15.348,15.2928,15.2697,15.2503,15.1786,15.1157,15.081,15.0465,15.0124,14.9785,14.9454,14.9179,14.8785,14.8456,14.813,14.7805,14.7415,14.7001,14.6592,14.6188,14.5789,14.5396,14.5113
xx,xx,xx,xx,hi,27.0773,26.9826,26.8894,26.8375,26.795,26.753,26.7115,26.6705,26.6298,26.5895,26.5496,26.51,26.4707,26.4317,26.3929,26.3544,26.3162,26.2781,26.2403,26.2026,26.1651,26.1278,26.0906,26.0536,26.0167,25.9799,25.9432,25.9066,25.8701,25.8336,25.7972,25.7609,25.7246,25.6883,25.6521,25.6158,25.5796,25.5434,25.5072,25.471,25.4278,25.3671,25.3069,25.2473,25.1882,25.1296,25.0715,25.0139,24.9557,24.8967,24.8381,24.7801,24.7226,24.6654,24.6088,24.5525,24.4967,24.4412,24.3862,24.3315,24.2771,24.2232,24.1695,24.1162,24.0632,24.0105,23.958,23.9059,23.854,23.8024,23.7511,23.7
xx,xx,With COVID,All,lo,18.6302,18.5994,18.5753,18.5515,18.5279,18.5045,18.4813,18.4583,18.4359,18.4141,18.3924,18.371,18.3498,18.2675,18.1839,18.105,17.7231,17.0835,16.7419,16.856,17.0221,17.2391,17.4472,17.5483,17.6359,17.7134,17.783,17.847,17.9086,17.9697,18.0304,18.0933,18.1549,18.2152,18.2744,18.3327,18.3898,18.443,18.4907,18.5331,18.5646,18.5813,18.5866,18.5833,18.5733,18.558,18.5385,18.5155,18.4897,18.4615,18.4313,18.3995,18.3664,18.332,18.2967,18.2606,18.2238,18.1864,18.1486,18.1104,18.072,18.0333,17.9945,17.9555,17.9165,17.8774,17.8384,17.7993,17.7603,17.7213,17.6825,17.6437
