ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,hi,4.45,4.4528,4.4557,4.4585,4.4614,4.4642,4.4671,4.47,4.4728,4.4757,4.4785,4.4814,4.4842,4.4871,4.4898,4.4921,4.4942,4.4963,4.4994,4.5025,4.5057,4.5089,4.5121,4.5153,4.5181,4.5209,4.5237,4.5265,4.5293,4.5322,4.535,4.5378,4.5406,4.5434,4.5462,4.5491,4.5519,4.5547,4.5575,4.5603,4.5632,4.5668,4.5706,4.5744,4.5782,4.582,4.5858,4.5896,4.5934,4.5972,4.601,4.6048,4.6086,4.6124,4.6162,4.6201,4.6239,4.6277,4.6315,4.6354,4.6392,4.643,4.6468,4.6507,4.6545,4.6583,4.6622,4.666,4.6699,4.6737,4.6776,4.6814
xx,xx,HIV +ve,lo,0.34901,0.34983,0.35065,0.35148,0.3523,0.3532,0.35412,0.35504,0.35596,0.35688,0.3578,0.35871,0.35964,0.36044,0.36115,0.36185,0.36256,0.36327,0.36398,0.36469,0.3654,0.36614,0.36695,0.36776,0.36856,0.36937,0.37018,0.37098,0.37179,0.37259,0.37339,0.3742,0.375,0.3758,0.3766,0.37741,0.37821,0.37901,0.37981,0.38061,0.38141,0.38222,0.38302,0.38382,0.38462,0.38542,0.38623,0.38703,0.38783,0.38863,0.38943,0.39023,0.39103,0.39183,0.39263,0.39343,0.39423,0.39503,0.39583,0.39662,0.39742,0.39822,0.39902,0.39982,0.40061,0.40141,0.40221,0.40301,0.4038,0.4046,0.4054,0.40619
xx,xx,xx,md,0.4136,0.41472,0.4157,0.41666,0.41762,0.41859,0.41959,0.42058,0.42157,0.42273,0.42394,0.42515,0.42636,0.42757,0.42878,0.42998,0.43119,0.4324,0.4336,0.43469,0.43577,0.43685,0.43793,0.43901,0.43993,0.44081,0.44168,0.44266,0.44393,0.44521,0.44649,0.44767,0.44875,0.44983,0.45091,0.45199,0.45305,0.45401,0.45505,0.45629,0.45735,0.4584,0.45945,0.46051,0.46156,0.46262,0.46367,0.46472,0.46578,0.46683,0.46789,0.46894,0.46999,0.47122,0.4725,0.47357,0.47453,0.47548,0.47643,0.47739,0.47841,0.47947,0.48052,0.48157,0.48262,0.48367,0.48473,0.48578,0.48683,0.48788,0.48893,0.48998
xx,xx,xx,hi,0.47769,0.4788,0.47991,0.48102,0.48212,0.48323,0.48441,0.48577,0.48714,0.48851,0.48988,0.49124,0.49261,0.49397,0.49534,0.49671,0.49807,0.49944,0.50081,0.50217,0.50354,0.5049,0.50627,0.50764,0.50901,0.51037,0.51174,0.51311,0.51448,0.51585,0.51722,0.51859,0.51996,0.52133,0.5227,0.52407,0.52544,0.52681,0.52818,0.52955,0.53093,0.5323,0.53367,0.53504,0.53642,0.53779,0.53916,0.54054,0.54191,0.54329,0.54466,0.54604,0.54741,0.54879,0.55016,0.55154,0.55292,0.55429,0.55567,0.55705,0.55843,0.5598,0.56118,0.56256,0.56394,0.56532,0.56669,0.56807,0.56945,0.57083,0.57221,0.57359
xx,COVID,All,lo,3.254,3.2556,3.2571,3.2586,3.2604,3.2622,3.2639,3.2657,3.2675,3.2693,3.2711,3.2729,3.2747,3.2765,3.2783,3.281,3.2429,3.1469,3.1008,3.1572,3.2121,3.2495,3.2843,3.3308,3.3878,3.4389,3.4684,3.4846,3.4941,3.4994,3.5019,3.5026,3.4997,3.4958,3.4918,3.4877,3.4861,3.4847,3.4834,3.481,3.4785,3.4762,3.474,3.4719,3.4693,3.4668,3.4645,3.4623,3.4602,3.4583,3.4564,3.4547,3.453,3.4515,3.45,3.4486,3.4473,3.4461,3.445,3.4439,3.4429,3.4423,3.442,3.4416,3.4414,3.4412,3.441,3.4408,3.4408,3.4407,3.4407,3.4407
xx,xx,xx,md,3.8214,3.8226,3.8238,3.825,3.8262,3.8274,3.8286,3.8298,3.831,3.8322,3.8334,3.8346,3.836,3.8386,3.8413,3.8449,3.7959,3.6987,3.6234,3.6719,3.7355,3.7769,3.8108,3.8578,3.9199,3.9776,4.0143,4.0372,4.0471,4.0542,4.0586,4.061,4.0618,4.0615,4.0614,4.0625,4.0613,4.0603,4.0594,4.0587,4.0581,4.0575,4.0571,4.0568,4.0566,4.0575,4.0582,4.0567,4.0563,4.0563,4.0569,4.0579,4.0589,4.06,4.0611,4.0622,4.0634,4.064,4.0646,4.0652,4.0658,4.068,4.069,4.0707,4.073,4.0754,4.0774,4.0789,4.0805,4.0821,4.0838,4.0851
xx,xx,xx,hi,4.45,4.4528,4.4557,4.4585,4.4614,4.4642,4.4671,4.47,4.4728,4.4757,4.4785,4.4814,4.4842,4.4871,4.4898,4.4929,4.4119,4.2594,4.1641,4.2126,4.2735,4.327,4.3758,4.4326,4.5126,4.5855,4.6276,4.6571,4.6772,4.6897,4.6972,4.7005,4.7016,4.7015,4.7009,4.7007,4.7005,4.7002,4.6999,4.6997,4.6995,4.6995,4.6996,4.6998,4.7,4.7004,4.7012,4.7036,4.7063,4.709,4.7117,4.7144,4.7171,4.7198,4.7226,4.7254,4.7281,4.7309,4.7338,4.7366,4.7394,4.7423,4.7451,4.748,4.7509,4.7538,4.7567,4.7596,4.7625,4.7654,4.7684,4.7713
xx,xx,HIV +ve,lo,0.34901,0.34983,0.35065,0.35148,0.3523,0.3532,0.35412,0.35504,0.35596,0.35688,0.3578,0.35871,0.35964,0.36044,0.36115,0.36208,0.34348,0.31145,0.29714,0.32788,0.34901,0.36178,0.37171,0.3833,0.39755,0.40808,0.41229,0.41162,0.40743,0.40417,0.40208,0.40097,0.3993,0.39794,0.39689,0.39611,0.39555,0.39518,0.39497,0.3949,0.39493,0.39506,0.39527,0.39554,0.39587,0.39624,0.39665,0.39708,0.39754,0.39802,0.39852,0.39904,0.39957,0.40011,0.40066,0.40122,0.4018,0.40238,0.40297,0.40356,0.40417,0.40478,0.40539,0.40601,0.40664,0.40727,0.40791,0.40856,0.4092,0.40986,0.41051,0.41117
xx,xx,xx,md,0.4136,0.41472,0.4157,0.41666,0.41762,0.41859,0.41959,0.42058,0.42157,0.42273,0.42394,0.42515,0.42636,0.42757,0.42878,0.43033,0.41186,0.37641,0.36037,0.38642,0.4096,0.42712,0.43961,0.45376,0.46861,0.48238,0.48919,0.48968,0.48826,0.48568,0.48457,0.48258,0.47976,0.47866,0.47751,0.47654,0.47602,0.47567,0.47551,0.4756,0.47564,0.4759,0.47628,0.47675,0.47723,0.47766,0.47824,0.47891,0.47954,0.4802,0.48087,0.48156,0.48226,0.48298,0.48386,0.48495,0.48606,0.48717,0.488,0.48869,0.48939,0.49009,0.4908,0.49151,0.49223,0.49295,0.49368,0.49441,0.49514,0.49588,0.49662,0.49737
xx,xx,xx,hi,0.47769,0.4788,0.47991,0.48102,0.48212,0.48323,0.48441,0.48577,0.48714,0.48851,0.48988,0.49124,0.49261,0.49397,0.49534,0.49707,0.4739,0.44145,0.42619,0.44897,0.4747,0.49384,0.50892,0.52623,0.54835,0.56435,0.5691,0.56847,0.56576,0.56328,0.56143,0.55907,0.55697,0.55521,0.55384,0.55283,0.55217,0.5518,0.5517,0.55182,0.55213,0.55259,0.55318,0.55387,0.55461,0.55534,0.55613,0.55697,0.55786,0.55878,0.55974,0.56072,0.56171,0.56273,0.56377,0.56481,0.56587,0.56694,0.56801,0.56909,0.57019,0.57128,0.57238,0.57349,0.5746,0.5757,0.57682,0.57793,0.57905,0.58017,0.5813,0.58243
