Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,xx,md,79.4696,78.435,78.025,77.576,77.1133,76.8556
xx,xx,xx,xx,hi,100.8207,100.0776,99.5566,99.0954,98.6341,98.2026
xx,xx,With COVID,xx,lo,62.0018,60.916,64.3545,68.2543,67.0932,65.2015
xx,xx,xx,xx,md,79.4696,77.9523,83.1545,90.3114,87.9257,84.2045
xx,xx,xx,xx,hi,100.8207,98.7568,108.0824,122.3746,117.5995,111.541
xx,HND,Baseline,xx,lo,24.2353,24.0732,23.9235,23.759,23.5711,23.3914
xx,xx,xx,xx,md,30.9649,30.4283,30.2675,30.144,30.0298,29.704
xx,xx,xx,xx,hi,39.3727,39.0636,38.7767,38.5983,38.4492,38.3701
xx,xx,With COVID,xx,lo,24.2353,24.0248,25.0441,26.8679,26.2151,25.3191
xx,xx,xx,xx,md,30.9649,30.2071,32.6076,35.1578,34.2885,32.7185
xx,xx,xx,xx,hi,39.3727,38.4143,43.5255,49.1595,47.9679,45.5532
xx,JAM,Baseline,xx,lo,2.3786,2.3572,2.338,2.3205,2.3041,2.286
xx,xx,xx,xx,md,3.1576,3.1291,3.1041,3.0797,3.0533,3.0328
xx,xx,xx,xx,hi,3.9815,3.9455,3.9124,3.8853,3.874,3.8634
xx,xx,With COVID,xx,lo,2.3786,2.3218,2.4917,2.5904,2.5027,2.4171
xx,xx,xx,xx,md,3.1576,3.1085,3.3309,3.5889,3.5098,3.3715
xx,xx,xx,xx,hi,3.9815,3.914,4.3115,4.7196,4.6592,4.4619
xx,NIC,Baseline,xx,lo,33.2258,33.0187,32.8816,32.6699,32.4172,32.2625
xx,xx,xx,xx,md,42.487,41.9934,41.8429,41.5943,41.3528,41.2495
xx,xx,xx,xx,hi,54.6233,54.2242,53.8365,53.4737,53.276,53.0888
xx,xx,With COVID,xx,lo,33.2258,32.9148,35.5438,36.7269,35.6508,34.5004
xx,xx,xx,xx,md,42.487,41.9558,44.8981,48.4508,47.3459,45.4144
xx,xx,xx,xx,hi,54.6233,54.2669,58.2083,65.0411,63.226,60.1065
xx,PRI,Baseline,xx,lo,1.2032,1.1907,1.1813,1.1734,1.1658,1.1572
xx,xx,xx,xx,md,1.4078,1.3924,1.3833,1.3731,1.3622,1.351
xx,xx,xx,xx,hi,1.6233,1.6151,1.6099,1.6099,1.606,1.601
xx,xx,With COVID,xx,lo,1.2032,1.1847,1.2553,1.3111,1.2791,1.2332
xx,xx,xx,xx,md,1.4078,1.3872,1.4712,1.5813,1.5467,1.4829
xx,xx,xx,xx,hi,1.6233,1.6051,1.7832,2.0403,1.989,1.8912
xx,PRY,Baseline,xx,lo,39.7766,39.4944,38.9839,38.6862,38.4121,38.1535
xx,xx,xx,xx,md,45.9328,45.5145,45.2068,44.8286,44.4488,44.1076
xx,xx,xx,xx,hi,51.7207,51.4275,51.1632,50.9188,50.6884,50.4679
xx,xx,With COVID,xx,lo,39.7766,39.3415,41.5701,43.7649,42.0248,40.4456
xx,xx,xx,xx,md,45.9328,45.1679,47.8208,51.169,50.2947,48.1174
xx,xx,xx,xx,hi,51.7207,51.3904,56.9925,63.0858,61.591,58.6789
xx,SUR,Baseline,xx,lo,21.628,21.3818,21.172,20.9852,20.8153,20.658
xx,xx,xx,xx,md,28.3085,28.0639,27.8755,27.7728,27.5758,27.3676
xx,xx,xx,xx,hi,35.7748,35.4139,35.0947,34.8054,34.6571,34.5351
xx,xx,With COVID,xx,lo,21.628,21.2217,22.3609,23.775,23.2687,22.3958
xx,xx,xx,xx,md,28.3085,27.942,29.8637,32.3108,31.5952,30.2094
xx,xx,xx,xx,hi,35.7748,35.1285,37.8628,42.4386,41.8368,40.0482
xx,SXM,Baseline,xx,lo,12.1891,12.0633,11.952,11.8507,11.7532,11.6409
xx,xx,xx,xx,md,13.78,13.6699,13.5769,13.4801,13.3988,13.3334
xx,xx,xx,xx,hi,15.9853,15.891,15.8042,15.7358,15.6701,15.6097
xx,xx,With COVID,xx,lo,12.1891,12.104,12.6178,13.0444,12.7281,12.2943
xx,xx,xx,xx,md,13.78,13.5617,14.5281,15.6071,15.2132,14.6582
