ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,xx,md,5.7464,6.2673,7.6147,8.582,7.0429,6.6706
xx,xx,xx,hi,8.397,9.0683,10.8176,12.102,10.3695,9.7648
NPL,Baseline,xx,lo,31.593,30.9703,30.3293,29.5953,28.9424,28.3803
xx,xx,xx,md,59.037,57.9196,57.4051,56.7272,56.0122,55.6315
xx,xx,xx,hi,91.1341,90.5681,90.0678,89.6332,89.2618,88.9498
xx,COVID,xx,lo,31.593,31.7792,31.5734,30.1184,29.3848,28.735
xx,xx,xx,md,59.037,58.4153,58.2662,56.9842,56.1382,55.8431
xx,xx,xx,hi,91.1341,91.4425,91.4299,90.026,89.4715,89.1101
PAK,Baseline,xx,lo,15.7582,15.585,15.4159,15.2694,15.1638,15.0547
xx,xx,xx,md,19.9348,19.5544,19.227,18.99,18.9926,18.9472
xx,xx,xx,hi,24.8541,24.3963,23.7805,23.4972,23.4473,23.4706
xx,COVID,xx,lo,15.7582,17.0344,17.2197,13.991,14.9705,14.9197
xx,xx,xx,md,19.9348,21.3917,21.5145,17.7036,18.6388,18.7977
xx,xx,xx,hi,24.8541,26.5903,26.5585,21.8452,22.9683,23.177
PER,Baseline,xx,lo,7.1338,7.061,7.0148,6.9181,6.8409,6.7792
xx,xx,xx,md,8.7399,8.5785,8.4402,8.3473,8.2535,8.19
xx,xx,xx,hi,10.8576,10.7145,10.6048,10.5044,10.3963,10.2998
xx,COVID,xx,lo,7.1338,8.3021,11.2121,12.9961,9.2784,8.3827
xx,xx,xx,md,8.7399,10.2737,13.8241,15.9116,12.2592,11.177
xx,xx,xx,hi,10.8576,12.5933,17.0421,19.8981,15.4852,14.2441
PHL,Baseline,xx,lo,24.6719,23.8146,23.0737,22.5038,22.0105,21.6165
xx,xx,xx,md,26.4918,25.6928,25.0454,24.4971,24.1199,23.77
xx,xx,xx,hi,27.9079,27.2544,26.7068,26.2842,26.001,25.8335
xx,COVID,xx,lo,24.6719,30.7332,46.7627,54.1079,39.1168,35.8212
xx,xx,xx,md,26.4918,33.5239,53.2004,60.7804,43.089,39.4415
xx,xx,xx,hi,27.9079,36.2526,60.0851,69.4017,48.1994,44.2027
PNG,Baseline,All,lo,34.0788,33.9586,33.8347,33.7104,33.4387,33.1704
xx,xx,xx,md,50.1399,49.9725,49.7591,49.5263,49.3525,49.2623
xx,xx,xx,hi,70.4008,70.2922,70.1203,69.8929,69.6661,69.5286
xx,xx,HIV +ve,lo,1.619,1.4497,1.3782,1.3379,1.2897,1.2485
xx,xx,xx,md,3.4211,3.3299,3.318,3.2352,3.1599,3.0628
xx,xx,xx,hi,6.136,6.1802,6.1933,6.1686,6.109,5.9972
xx,COVID,All,lo,34.0788,33.8072,36.6194,42.7867,38.3923,36.8925
xx,xx,xx,md,50.1399,50.0532,54.5493,63.2144,56.7259,55.1482
xx,xx,xx,hi,70.4008,70.4162,76.7103,89.3473,80.2246,77.9857
xx,xx,HIV +ve,lo,1.619,1.5282,1.5626,1.4739,1.2849,1.2049
xx,xx,xx,md,3.4211,3.3167,3.6935,4.3126,3.6452,3.3736
xx,xx,xx,hi,6.136,6.0237,6.8228,8.3223,7.0848,6.5879
PRK,Baseline,xx,lo,47.4731,46.9454,46.6789,46.4898,46.0919,45.803
xx,xx,xx,md,71.5044,70.6263,70.2879,69.8914,69.6768,69.3311
xx,xx,xx,hi,95.3379,94.4974,93.7891,93.1957,92.7019,92.3928
xx,COVID,xx,lo,47.4731,44.7359,44.6454,44.7507,44.4242,44.3727
xx,xx,xx,md,71.5044,67.6023,67.0867,67.2513,66.8812,66.9288
xx,xx,xx,hi,95.3379,91.042,89.4127,89.5565,89.1567,89.0964
ROU,Baseline,xx,lo,4.8593,4.7599,4.6507,4.5619,4.4859,4.4185
xx,xx,xx,md,4.9471,4.8647,4.7937,4.7372,4.6882,4.6426
xx,xx,xx,hi,5.0601,4.9952,4.9552,4.9107,4.8858,4.869
xx,COVID,xx,lo,4.8593,5.5727,7.9102,8.1895,5.2189,4.7905
xx,xx,xx,md,4.9471,6.0633,9.3942,9.6979,6.5633,5.8792
xx,xx,xx,hi,5.0601,6.3518,10.522,11.264,7.7799,7.032
RUS,Baseline,xx,lo,5.6439,5.5416,5.4275,5.3042,5.2021,5.1124
xx,xx,xx,md,6.4151,6.2932,6.1849,6.0765,6.011,5.9576
xx,xx,xx,hi,7.2929,7.1576,7.0715,6.9978,6.9337,6.8766
xx,COVID,xx,lo,5.6439,5.9786,7.1672,7.5087,6.1287,5.7121
xx,xx,xx,md,6.4151,6.8724,8.5383,8.9937,7.2975,6.8333
xx,xx,xx,hi,7.2929,7.8484,9.7825,10.3781,8.6317,8.0539
THA,Baseline,All,lo,12.7959,12.4634,12.1517,11.8538,11.5116,11.4737
xx,xx,xx,md,15.7721,15.3657,15.0499,14.8119,14.617,14.4884
xx,xx,xx,hi,20.419,19.5737,19.1016,18.7274,18.4145,18.1722
