ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,hi,0.30057,0.30097,0.30138,0.30179,0.3022,0.30261,0.30302,0.30343,0.30383,0.30424,0.30462,0.30491,0.30519,0.30548,0.30576,0.30613,0.3065,0.30688,0.30726,0.30763,0.30801,0.30839,0.30877,0.30914,0.30952,0.3099,0.31028,0.31065,0.31103,0.31141,0.31179,0.31217,0.31255,0.31293,0.3133,0.31368,0.31406,0.31444,0.31482,0.3152,0.31558,0.31596,0.31634,0.31672,0.3171,0.31748,0.31786,0.31824,0.31862,0.31899,0.31933,0.31967,0.32001,0.32036,0.3207,0.32104,0.32138,0.32172,0.32205,0.32239,0.32273,0.32306,0.3234,0.32374,0.32408,0.32441,0.32475,0.32509,0.32542,0.32576,0.3261,0.32644
xx,xx,HIV +ve,lo,0.047458,0.047593,0.047728,0.047864,0.048,0.048136,0.048273,0.048409,0.048546,0.048683,0.048819,0.048956,0.049093,0.049229,0.049366,0.049503,0.049639,0.049776,0.049913,0.05005,0.050186,0.050323,0.05046,0.050597,0.050734,0.050871,0.051005,0.051122,0.05124,0.051357,0.051474,0.051592,0.051709,0.051826,0.051943,0.052061,0.052178,0.052295,0.052412,0.052529,0.052646,0.052763,0.05288,0.052997,0.053114,0.053231,0.053348,0.053464,0.053581,0.053698,0.053815,0.053932,0.054048,0.054165,0.054282,0.054399,0.054515,0.054632,0.054749,0.054865,0.054982,0.055099,0.055215,0.055332,0.055448,0.055565,0.055681,0.055798,0.055914,0.056031,0.056147,0.056264
xx,xx,xx,md,0.069349,0.069502,0.069657,0.069816,0.069984,0.070153,0.070305,0.070445,0.070599,0.070756,0.070914,0.071071,0.071229,0.071386,0.071559,0.071745,0.071932,0.072057,0.072181,0.072328,0.072485,0.072641,0.072798,0.072985,0.073183,0.073367,0.073507,0.073648,0.073796,0.074022,0.074249,0.074475,0.074676,0.074842,0.075009,0.075176,0.075343,0.075509,0.075676,0.075842,0.076009,0.076176,0.076342,0.076509,0.076675,0.076834,0.076979,0.077124,0.077269,0.077414,0.077558,0.077703,0.077868,0.078053,0.078239,0.078389,0.078512,0.078635,0.078787,0.078991,0.079195,0.079399,0.079604,0.079808,0.08,0.080167,0.080333,0.080499,0.080665,0.080831,0.080997,0.081163
xx,xx,xx,hi,0.099736,0.099954,0.10017,0.1004,0.10062,0.10084,0.10106,0.10128,0.10151,0.10173,0.10195,0.10217,0.10239,0.10261,0.10284,0.10306,0.10328,0.1035,0.10372,0.10394,0.10416,0.10438,0.1046,0.10482,0.10504,0.10526,0.10547,0.10569,0.10591,0.10613,0.10635,0.10657,0.10678,0.107,0.10722,0.10744,0.10766,0.10787,0.10809,0.10831,0.10852,0.10874,0.10896,0.10917,0.10939,0.10961,0.10982,0.11004,0.11025,0.11047,0.11068,0.1109,0.11111,0.11133,0.11154,0.11176,0.11197,0.11219,0.1124,0.11261,0.11283,0.11304,0.11326,0.11347,0.11368,0.1139,0.11411,0.11432,0.11453,0.11475,0.11496,0.11517
xx,COVID,All,lo,0.25046,0.25068,0.25091,0.25114,0.25137,0.25159,0.25182,0.25205,0.25228,0.25252,0.25275,0.25298,0.25321,0.25345,0.25368,0.25759,0.27014,0.27877,0.28228,0.28152,0.28393,0.28246,0.28952,0.30314,0.31617,0.31173,0.3026,0.29541,0.29011,0.28539,0.28206,0.27982,0.27804,0.27663,0.27548,0.27454,0.27377,0.27316,0.27277,0.27247,0.27223,0.27205,0.27192,0.27184,0.27179,0.27176,0.27176,0.27177,0.27181,0.27185,0.27191,0.27198,0.27206,0.27215,0.27224,0.27234,0.27245,0.27256,0.27267,0.27279,0.27292,0.27305,0.27318,0.27331,0.27345,0.27359,0.27373,0.27386,0.27389,0.27392,0.27396,0.274
xx,xx,xx,md,0.27579,0.2761,0.27642,0.27674,0.27706,0.27738,0.2777,0.27796,0.27819,0.27842,0.27864,0.27885,0.27907,0.27929,0.2795,0.28313,0.29948,0.30826,0.30988,0.30733,0.30983,0.30663,0.31657,0.33371,0.35245,0.34366,0.33156,0.32319,0.31702,0.31251,0.3092,0.30692,0.3051,0.30361,0.30241,0.30145,0.30064,0.29999,0.29947,0.29905,0.29872,0.29845,0.29836,0.29819,0.298,0.29798,0.29804,0.29801,0.29804,0.29804,0.29802,0.2981,0.29818,0.29828,0.29839,0.29851,0.29862,0.29877,0.29891,0.29906,0.29921,0.29937,0.29953,0.29969,0.29984,0.29992,0.30001,0.30009,0.30019,0.30026,0.30032,0.30048
xx,xx,xx,hi,0.30057,0.30097,0.30138,0.30179,0.3022,0.30261,0.30302,0.30343,0.30383,0.30424,0.30462,0.30491,0.30519,0.30548,0.30576,0.31025,0.32798,0.33793,0.33807,0.33377,0.33596,0.33268,0.34338,0.36264,0.38544,0.37424,0.36153,0.35245,0.34602,0.34135,0.33838,0.33607,0.33419,0.33268,0.33152,0.33065,0.32999,0.32951,0.32914,0.32886,0.32867,0.32856,0.32851,0.32851,0.32855,0.32863,0.32873,0.32886,0.32901,0.32917,0.32935,0.32954,0.32974,0.32995,0.33017,0.33039,0.33062,0.33085,0.33109,0.33133,0.33157,0.33181,0.33206,0.33231,0.33257,0.33282,0.33308,0.33334,0.3336,0.33386,0.33412,0.33434
xx,xx,HIV +ve,lo,0.047458,0.047593,0.047728,0.047864,0.048,0.048136,0.048273,0.048409,0.048546,0.048683,0.048819,0.048956,0.049093,0.049229,0.049366,0.05019,0.052931,0.053428,0.052084,0.050852,0.051537,0.051851,0.054598,0.058679,0.062389,0.061765,0.060111,0.05883,0.057955,0.057317,0.056821,0.05642,0.056086,0.055806,0.055572,0.055378,0.055221,0.055096,0.055001,0.054933,0.054889,0.054865,0.05486,0.054871,0.054896,0.054933,0.05498,0.055037,0.0551,0.055171,0.055246,0.055327,0.055411,0.055499,0.05559,0.055684,0.055779,0.055877,0.055976,0.056076,0.056177,0.056279,0.056382,0.056486,0.056591,0.056695,0.056801,0.056907,0.057013,0.057119,0.057225,0.057332
xx,xx,xx,md,0.069349,0.069502,0.069657,0.069816,0.069984,0.070153,0.070305,0.070445,0.070599,0.070756,0.070914,0.071071,0.071229,0.071386,0.071559,0.07268,0.076338,0.077551,0.076408,0.074865,0.075558,0.075893,0.079829,0.084805,0.090592,0.089305,0.087467,0.085989,0.085088,0.084437,0.083867,0.083166,0.082492,0.082128,0.081621,0.081112,0.080776,0.080403,0.080176,0.080017,0.079914,0.079835,0.079785,0.079772,0.079788,0.079807,0.079815,0.079839,0.079877,0.079942,0.080045,0.080166,0.080326,0.080495,0.080647,0.080726,0.080849,0.080994,0.08114,0.081288,0.081437,0.081555,0.081674,0.081794,0.081914,0.082036,0.082158,0.08228,0.082404,0.082528,0.082678,0.082853
xx,xx,xx,hi,0.099736,0.099954,0.10017,0.1004,0.10062,0.10084,0.10106,0.10128,0.10151,0.10173,0.10195,0.10217,0.10239,0.10261,0.10284,0.10423,0.1092,0.11121,0.10997,0.10792,0.10852,0.10845,0.11252,0.11905,0.12716,0.12632,0.12367,0.12173,0.12024,0.11906,0.11829,0.1176,0.11697,0.11639,0.11585,0.11537,0.11494,0.11457,0.11426,0.11399,0.11378,0.11362,0.1135,0.11342,0.11337,0.11336,0.11338,0.11342,0.11347,0.11355,0.11364,0.11375,0.11386,0.11399,0.11412,0.11425,0.1144,0.11455,0.1147,0.11485,0.11501,0.11517,0.11533,0.1155,0.11566,0.11583,0.116,0.11617,0.11634,0.11651,0.11669,0.11686
CHN,Baseline,xx,lo,0.17471,0.17453,0.17434,0.17416,0.17397,0.17379,0.1736,0.17342,0.17324,0.17308,0.17293,0.17277,0.17262,0.17247,0.17232,0.17217,0.17202,0.17186,0.17171,0.17156,0.17141,0.17126,0.17111,0.17096,0.17081,0.17066,0.17051,0.17036,0.17022,0.17008,0.16992,0.16975,0.16958,0.16941,0.16924,0.16907,0.16889,0.16872,0.16854,0.16837,0.16819,0.16801,0.16784,0.16766,0.16749,0.16731,0.16714,0.16696,0.16679,0.16661,0.16644,0.16627,0.16609,0.16592,0.16575,0.16557,0.1654,0.16523,0.16506,0.16488,0.16471,0.16454,0.16437,0.1642,0.16403,0.16385,0.16368,0.16351,0.16334,0.16317,0.163,0.16283
xx,xx,xx,md,0.19285,0.19264,0.19243,0.19222,0.19201,0.19181,0.19163,0.19146,0.19129,0.19112,0.19094,0.19077,0.19059,0.19038,0.19017,0.18996,0.18975,0.18961,0.18949,0.18938,0.18925,0.18908,0.18891,0.18873,0.18853,0.18833,0.18813,0.18793,0.18773,0.18753,0.18733,0.18714,0.18698,0.18683,0.18667,0.18652,0.18637,0.18621,0.18606,0.18591,0.18575,0.1856,0.18545,0.18528,0.1851,0.18492,0.18474,0.18456,0.18438,0.1842,0.18403,0.18388,0.18373,0.18358,0.18343,0.18329,0.18314,0.18299,0.18284,0.18269,0.18254,0.18239,0.18224,0.18209,0.1819,0.18171,0.18152,0.18133,0.18114,0.18095,0.18076,0.18058
xx,xx,xx,hi,0.21606,0.21585,0.21565,0.21545,0.21525,0.21505,0.21485,0.21465,0.21445,0.21425,0.21405,0.21386,0.21366,0.21346,0.21327,0.21305,0.21284,0.21263,0.21242,0.21221,0.212,0.21179,0.21159,0.21138,0.21117,0.21097,0.21076,0.21056,0.21035,0.21015,0.20994,0.20974,0.20954,0.20934,0.20913,0.20893,0.20873,0.20853,0.20833,0.20813,0.20793,0.20773,0.20754,0.20734,0.20714,0.20694,0.20675,0.20655,0.20635,0.20616,0.20596,0.20577,0.20557,0.20538,0.20518,0.20499,0.2048,0.2046,0.20441,0.20422,0.20403,0.20383,0.20364,0.20345,0.20326,0.20307,0.20288,0.20269,0.2025,0.20231,0.20212,0.20193
