Region,ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
xx,xx,xx,xx,hi,11.6366,11.5708,11.506,11.4675,11.4375,11.4096,11.382,11.3547,11.3277,11.3011,11.2807,11.261,11.2576,11.3139,11.3753,11.4637,11.6921,11.874,11.9818,12.0709,12.1778,12.2921,12.3969,12.5028,12.6047,12.6824,12.7469,12.795,12.8733,12.9554,13.0302,13.0871,13.138,13.1874,13.2354,13.2818,13.3139,13.3024,13.2901,13.2454,13.0578,12.8775,12.732,12.6254,12.5071,12.402,12.3076,12.222,12.1428,12.0681,11.9989,11.9344,11.8742,11.8176,11.7643,11.7139,11.6701,11.6386,11.6086,11.5746,11.5405,11.5075,11.4757,11.4449,11.4149,11.3859,11.3575,11.3299,11.303,11.2767,11.2509,11.2257
xx,xx,xx,HIV +ve,lo,2.8931,2.8823,2.8717,2.8613,2.8511,2.841,2.8311,2.8214,2.8118,2.8024,2.7743,2.7453,2.7229,2.7134,2.7119,2.7218,2.7509,2.7682,2.7706,2.7718,2.7801,2.7856,2.7769,2.7677,2.7589,2.7534,2.7577,2.7639,2.7758,2.7885,2.7997,2.8022,2.8031,2.8039,2.8066,2.8146,2.8173,2.797,2.7787,2.7607,2.72,2.6785,2.642,2.6094,2.5798,2.5527,2.5276,2.5041,2.4821,2.4612,2.4413,2.4223,2.404,2.3825,2.3549,2.3283,2.3026,2.2779,2.2539,2.2307,2.2083,2.1865,2.1675,2.1504,2.1373,2.1245,2.112,2.0998,2.0877,2.076,2.0644,2.053
xx,xx,xx,xx,md,4.1496,4.1355,4.1215,4.1077,4.0947,4.0804,4.067,4.0537,4.0335,4.0156,3.9913,3.9649,3.9476,3.9539,3.974,3.9966,4.0329,4.0564,4.0572,4.0666,4.0789,4.0937,4.1264,4.1343,4.1589,4.1769,4.1967,4.2145,4.2226,4.2655,4.2803,4.2881,4.2984,4.3159,4.3251,4.3375,4.3511,4.3436,4.3373,4.3162,4.2453,4.1839,4.1312,4.0822,4.0464,4.0087,3.9689,3.9395,3.9087,3.8746,3.8361,3.8091,3.7847,3.7621,3.7409,3.7212,3.7026,3.6851,3.6685,3.6528,3.635,3.6155,3.5964,3.5777,3.5623,3.552,3.542,3.5278,3.506,3.488,3.4769,3.466
xx,xx,xx,xx,hi,5.8859,5.8736,5.8615,5.8495,5.8376,5.8258,5.8141,5.8026,5.7912,5.7799,5.7687,5.7576,5.7529,5.7715,5.7919,5.8209,5.8852,5.9103,5.8938,5.8785,5.898,5.9256,5.9471,5.9769,6.0122,6.0404,6.0681,6.0999,6.1268,6.1542,6.1773,6.192,6.2042,6.2157,6.2266,6.249,6.2608,6.2366,6.2089,6.1632,6.0534,5.9537,5.869,5.8095,5.7628,5.7203,5.6815,5.6455,5.612,5.5806,5.551,5.523,5.4963,5.4708,5.4464,5.423,5.4005,5.3803,5.3609,5.342,5.3236,5.3056,5.2881,5.2709,5.254,5.2375,5.2213,5.2053,5.1897,5.1742,5.159,5.1441
xx,SWZ,Baseline,All,lo,4.5452,4.5356,4.5261,4.5167,4.5074,4.4981,4.489,4.4798,4.4708,4.4568,4.4296,4.4028,4.3777,4.3532,4.3291,4.3054,4.2821,4.2592,4.2367,4.2145,4.1927,4.1712,4.1501,4.1293,4.1088,4.0887,4.0753,4.0648,4.0543,4.0439,4.0336,4.0233,4.013,3.9962,3.975,3.9542,3.9337,3.9136,3.8939,3.8744,3.8554,3.8366,3.8181,3.8,3.7822,3.7646,3.7474,3.7304,3.7138,3.6974,3.6813,3.6655,3.6506,3.6294,3.6072,3.5854,3.564,3.5431,3.5226,3.5055,3.4918,3.4784,3.4651,3.4521,3.4392,3.4266,3.4141,3.4018,3.3896,3.3776,3.3658,3.3542
xx,xx,xx,xx,md,6.9504,6.9109,6.8869,6.865,6.8433,6.8214,6.8018,6.7888,6.7594,6.7391,6.719,6.6814,6.6246,6.5974,6.576,6.5484,6.5286,6.5089,6.4662,6.419,6.3846,6.3501,6.3309,6.3103,6.2907,6.2713,6.2521,6.2332,6.2144,6.1958,6.1774,6.1591,6.1411,6.1152,6.1054,6.0881,6.0754,6.0642,6.053,6.0419,6.0309,6.0199,6.009,5.9939,5.9786,5.9636,5.9486,5.9285,5.9155,5.9026,5.8898,5.8767,5.8627,5.8489,5.8352,5.8217,5.8083,5.7896,5.7708,5.746,5.7215,5.6991,5.6872,5.6754,5.6636,5.6491,5.6401,5.6285,5.6169,5.6054,5.5939,5.584
xx,xx,xx,xx,hi,10.0254,9.9724,9.9203,9.8691,9.8187,9.7692,9.7205,9.6727,9.6257,9.5785,9.5426,9.5194,9.496,9.4725,9.4492,9.4263,9.4036,9.3811,9.3589,9.337,9.3153,9.2939,9.2778,9.2631,9.2487,9.2344,9.2202,9.2063,9.1925,9.1788,9.1653,9.1519,9.1387,9.1256,9.1127,9.0999,9.0872,9.0746,9.0621,9.0498,9.0376,9.0254,9.0134,9.0015,8.9827,8.9629,8.9432,8.9263,8.9104,8.8945,8.8788,8.8631,8.8475,8.832,8.8166,8.8012,8.786,8.7708,8.7548,8.7389,8.723,8.7072,8.6915,8.6794,8.6702,8.6611,8.652,8.643,8.634,8.6249,8.6159,8.607
xx,xx,xx,HIV +ve,lo,2.955,2.9392,2.9237,2.9084,2.8933,2.8784,2.8638,2.8493,2.8351,2.8211,2.8073,2.7911,2.7684,2.746,2.724,2.7024,2.6813,2.666,2.6509,2.6324,2.6062,2.5803,2.5549,2.5297,2.505,2.4818,2.4593,2.4371,2.4151,2.3963,2.3745,2.3531,2.3322,2.3117,2.2916,2.272,2.2534,2.2353,2.2187,2.2069,2.1952,2.1837,2.1724,2.1612,2.1503,2.1395,2.1288,2.1183,2.108,2.0978,2.0878,2.0779,2.0682,2.0586,2.0491,2.0398,2.0306,2.0215,2.0125,2.0037,1.995,1.9864,1.978,1.9696,1.9614,1.9532,1.9452,1.9373,1.9294,1.9217,1.9141,1.9065
xx,xx,xx,xx,md,5.1603,5.126,5.1079,5.0979,5.0879,5.0612,5.0371,4.9993,4.9823,4.9587,4.9351,4.9191,4.8995,4.8802,4.845,4.8339,4.8229,4.8048,4.7865,4.7683,4.7363,4.7,4.6945,4.6794,4.6526,4.6263,4.602,4.5751,4.5502,4.5355,4.5246,4.5058,4.4755,4.4623,4.451,4.4396,4.4283,4.4171,4.4059,4.3948,4.382,4.3623,4.3429,4.3274,4.3219,4.3165,4.3111,4.2933,4.262,4.2325,4.2245,4.2166,4.2088,4.1991,4.1834,4.1746,4.1677,4.1608,4.1539,4.1471,4.1402,4.1334,4.1265,4.1143,4.102,4.0898,4.0777,4.0656,4.0537,4.0419,4.0332,4.0233
xx,xx,xx,xx,hi,7.8989,7.8833,7.8678,7.8524,7.8372,7.8223,7.8074,7.7928,7.7781,7.761,7.7359,7.7107,7.6857,7.6609,7.6405,7.6235,7.6067,7.59,7.5735,7.5571,7.5409,7.5248,7.5088,7.493,7.4773,7.4617,7.4463,7.4309,7.4157,7.4006,7.3855,7.3704,7.3554,7.3406,7.3258,7.3111,7.2965,7.282,7.2676,7.2533,7.239,7.2248,7.2107,7.1967,7.1828,7.1689,7.155,7.1413,7.1276,7.1139,7.1004,7.0868,7.0734,7.0599,7.0466,7.0332,7.02,7.0067,6.9935,6.9804,6.9673,6.9567,6.9484,6.9401,6.9318,6.9235,6.9153,6.907,6.8988,6.8906,6.8823,6.8741
