iso3,year,hiv,tb,ill_def,tb_seq,total,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
THA,2005,7947,5525,150245,3,393995,5525,0.38133732661582,0.38133732661582,5528,0.000542691751085384,0.0226789743589744,low,91,100,34,65,no,FALSE,398628.3,398628.3,15,0.988376891455022,9040.48099446154,1436.07623344053,65821360,383717,1.03886014953729
THA,2006,6550,5202,149182,5,389880,5202,0.382635682774187,0.382635682774187,5207,0.00096024582293067,0.0216329175979859,low,91,100,34,65,no,FALSE,394908.5,394908.5,15,0.98726667063383,8543.0230392442,1368.33693507359,66319525,381336.88,1.03558958157942
THA,2007,5520,4852,149953,4,392614,4852,0.381934928453901,0.381934928453901,4856,0.000823723228995058,0.0200114563114798,low,91,100,34,65,no,FALSE,392093.9,392093.9,15,1,7846.36994984773,1212.17121116446,66826754,382439.29,1.02524481728852
THA,2008,4681,4820,150502,4,397148,4820,0.37895696314724,0.37895696314724,4824,0.000829187396351576,0.0195583954331309,low,91,100,34,65,no,FALSE,393367.8,393367.8,15,1,7693.64298306074,1173.65440371687,67328239,385054.88,1.02158892259722
THA,2009,4046,4568,149322,2,393747,4568,0.379233365587547,0.379233365587547,4570,0.000437636761487965,0.0186969418021888,low,91,100,34,65,no,FALSE,395637.2,395637.2,15,0.995222390614431,7397.20570318094,1144.06029275906,67813654,386098.82,1.02470450440641
THA,2010,3638,4465,154638,1,411200,4465,0.376065175097276,0.376065175097276,4466,0.000223914017017465,0.0174070984791201,low,91,100,34,65,no,FALSE,405331,405331,15,1,7055.63663364021,1063.16361907926,68270489,396186.81,1.02308050083747
THA,2011,3758,4780,142979,,414538,4780,0.344911684815385,0.344911684815385,4780,,0.0176020680588749,low,91,100,34,65,no,FALSE,410980.7,410980.7,15,1,7234.11025228404,952.210983397088,68712846,401357.68,1.0239761700835
THA,2012,4033,5353,135031,2,415081,5353,0.325312408903323,0.325312408903323,5355,0.000373482726423903,0.019121585431173,low,91,100,34,65,no,FALSE,415443.2,415443.2,15,0.999128159998768,7943.93264059989,960.145028383565,69157023,405964.06,1.02334970243425
THA,2013,5683,5495,126404,6,426027,5495,0.296704199499093,0.296704199499093,5501,0.00109071077985821,0.0183597387383479,low,91,100,34,65,no,FALSE,421460.2,421460.2,15,1,7737.89916061184,816.110082919184,69578602,412769.79,1.02105389059601
THA,2014,5705,5935,118511,3,435607,5935,0.272059448080495,0.272059448080495,5938,0.00050522061300101,0.0187261901758458,low,91,100,34,65,no,FALSE,431851.6,431851.6,15,1,8086.93518934329,755.599862679017,69960943,424854.86,1.01646854175094
THA,2015,5456,6084,113208,,445950,6084,0.253858055835856,0.253858055835856,6084,,0.0182844365905116,low,91,100,34,65,no,FALSE,442895.1,442895.1,15,1,8098.08737219828,688.798134314141,70294397,438126.92,1.01088310209288
THA,2016,4954,6107,118640,,469078,6107,0.252921688930199,0.252921688930199,6107,,0.0174267630793464,low,91,100,34,65,no,FALSE,461679.2,461679.2,15,1,8045.57403706219,680.952767505992,70607037,458025.63,1.00797678068802
THA,2017,4605,6070,113131,4,458001,6070,0.247010377706599,0.247010377706599,6074,0.000658544616397761,0.0176124336706585,low,91,100,34,65,no,FALSE,473242.1,473242.1,15,0.967794285419662,8334.94509641314,775.636040690156,70898202,470343.42,1.00616290114147
THA,2018,4605,5887,112425,24,461815,5887,0.2434416378853,0.2434416378853,5911,0.00406022669599053,0.0169180571853802,low,91,100,34,65,no,FALSE,485890.1,485890.1,15,0.950451552727664,8220.31649761012,802.880752136174,71127802,484771.54,1.00230739618089
THA,2019,4202,6081,112376,169,494334,6081,0.227328081823221,0.227328081823221,6250,0.02704,0.0163630556239168,low,91,100,34,65,no,FALSE,496725.8,496725.8,15,0.995184868593497,8127.95189523456,610.556106641241,71307763,497502.35,0.998439102850469
TJK,2000,,594,2142,,24878,594,0.0861001688238605,0.0861001688238605,594,,0.0261259676284307,low,70,70,53,53,no,FALSE,41904.23,41904.23,7,0.593687081232611,1094.78855647431,230.748140084751,6216329,43277.004,0.968279366103994
TJK,2001,,690,1824,,26435,690,0.0689994325704558,0.0689994325704558,690,,0.0280362439559547,low,70,70,53,53,no,FALSE,41261.32,41261.32,7,0.640672668736725,1156.81243346471,195.657401133295,6318510,43024.505,0.959019052049524
TJK,2002,,647,908,,27221,647,0.0333565996840674,0.0333565996840674,647,,0.0245886063922776,low,70,70,53,53,no,FALSE,40723.49,40723.49,7,0.668434851728081,1001.33386652985,137.096793127824,6426861,42452.375,0.959274716667796
TJK,2003,,670,887,,26784,670,0.0331167861409797,0.0331167861409797,670,,0.0258717225933506,low,70,70,53,53,no,FALSE,40286.84,40286.84,7,0.664832486241165,1042.2899486427,144.788832630968,6541550,42021.635,0.958716622996701
TJK,2004,,617,1073,,26763,617,0.040092665246796,0.040092665246796,617,,0.0240171272868821,low,70,70,53,53,no,FALSE,40326.36,40326.36,7,0.663660196457107,968.523321136629,137.949163064921,6662391,42019.679,0.959701762595569
TJK,2005,,622,1103,,28911,622,0.0381515686071046,0.0381515686071046,622,,0.022367663981588,low,70,70,53,53,no,FALSE,41114.63,41114.63,3,0.703180352103375,919.638228567319,110.015873502236,6929145,42647.781,0.964050861169072
TJK,2016,,414,4105,,34077,414,0.120462482026,0.120462482026,414,,0.0138128920325637,low,70,70,53,53,no,FALSE,50462.92,50462.92,3,0.675287914373564,697.038865607901,119.135923796062,8725318,49587.243,1.01765932016023
TJK,2017,7,296,3715,2,32022,296,0.116013990381613,0.116013990381613,298,0.00671140939597315,0.0105274313773978,low,70,70,53,53,no,FALSE,51131.09,51131.09,3,0.626272586796018,538.279041226552,108.504338874382,8925525,49724.489,1.02828789251107
TKM,2000,0,908,714,,25977,908,0.0274858528698464,0.0274858528698464,908,,0.0359418913034873,medium,100,100,,,no,TRUE,34047.61,34047.61,16,0.762961041905732,1223.73549776353,106.381260054313,4516128,28293.603,1.20336777185995
TKM,2001,0,934,715,,25809,934,0.0277035142779651,0.0277035142779651,934,,0.0372200526022157,medium,100,100,,,no,TRUE,34423.1,34423.1,16,0.749758156586711,1281.22959273133,119.07945119899,4564087,28136.33,1.22343958860306
TKM,2002,0,702,698,,27240,702,0.0256240822320117,0.0256240822320117,702,,0.0264486474267199,medium,100,100,,,no,TRUE,36620.51,36620.51,16,0.743845457094945,968.562957576671,91.9455151605574,4610018,28935.917,1.26557281733978
TKM,2003,0,733,842,,27124,733,0.0310426190827312,0.0310426190827312,733,,0.0278898105167035,medium,100,100,,,no,TRUE,36906.45,36906.45,16,0.734939285680416,1029.31389734419,104.024560884241,4655752,29587.422,1.2473695748146
TKM,2004,0,707,956,,27040,707,0.0353550295857988,0.0353550295857988,707,,0.0271047385370342,medium,100,100,,,no,TRUE,36896.88,36896.88,16,0.732853292744536,1000.08028523233,103.643499027976,4703396,30814.2,1.19739860194326
TKM,2005,0,735,1221,,28195,735,0.0433055506295443,0.0433055506295443,735,,0.0272484614814266,medium,100,100,,,no,TRUE,38459.69,38459.69,11,0.7331052330375,1047.96738155261,111.557689577231,4885775,32207.299,1.19412962881488
TKM,2006,0,650,1631,,27931,650,0.0583938992517275,0.0583938992517275,650,,0.0247148288973384,medium,100,100,,,no,TRUE,37761.46,37761.46,11,0.739669493711313,933.268022813688,101.678841376028,4954029,32192.98,1.17297187150739
