iso3,sex,diabetes,alcohol,undernutrition,smoking,diabetes.sd,alcohol.sd,undernutrition.sd,smoking.sd,inc.15plus,inc.15plus.sd,pop,adults,inc,inc.lo,inc.hi,inc.sd,hiv,hiv.sd,irr,irr.sd,sex,paf.hiv,paf.hiv.sd,sex,paf.dia,paf.dia.sd,sex,paf.alc,paf.alc.sd,sex,paf.smk,paf.smk.sd,sex,paf.und,paf.und.sd,inc.at.hiv,inc.at.hiv.sd,inc.at.dia,inc.at.dia.sd,inc.at.alc,inc.at.alc.sd,inc.at.smk,inc.at.smk.sd,inc.at.und,inc.at.und.sd,inc.at.hiv.num,inc.at.dia.num,inc.at.alc.num,inc.at.smk.num,inc.at.und.num,inc.at.hiv.lo.num,inc.at.hiv.hi.num,inc.at.dia.lo.num,inc.at.dia.hi.num,inc.at.alc.lo.num,inc.at.alc.hi.num,inc.at.smk.lo.num,inc.at.smk.hi.num,inc.at.und.lo.num,inc.at.und.hi.num
AND,f,0.0580000019073486,0.0220000004768372,,0.28,0.0178571416407215,,,,3.35023014624483,0.362404747669388,34267,33035,2.91021358437089,2.48998748907751,3.36256532805208,0.314806796449525,,,,,f,,,f,0.0280632416051106,0.0109501852379747,f,0.0485083374797641,0.0154928492099227,f,0.134864207633726,0.0490268104034567,f,,,,,0.0940183180267936,0.0382755594352474,0.162514094568924,0.0550877245965724,0.45182613406393,0.172287308358803,,,,0,0,0,,,,0,0,0,0,0,0,,
AND,m,0.0810000038146973,0.0980000019073486,,0.337999992370605,0.0234693872685335,,,,3,0.385996815455486,35621,34304,3.04627691981669,2.48998748907751,3.36256532805208,0.329525187902292,,,,,m,,,m,0.0387140269552561,0.0144030864469486,m,0.182756091622191,0.0507305712594521,m,0.157828814331081,0.0560141776303839,m,,,,,0.116142080865768,0.0460571011437357,0.548268274866572,0.168884928318474,0.473486442993242,0.18004775089766,,,,0,0,0,,,,0,0,0,0,0,0,,
ARE,a,0.151000003814697,0.00699999988079071,0.0370000004768372,,0.0250000004865685,,,,0.885326417644356,0.0709122909147075,9287289,7899675,0.822731522042638,0.703949470752599,0.950637709626333,0.0629641470950998,9.3324769664538e-05,2.54118989931502e-05,24.8865545434097,10.6292453523552,a,0.00222290543328013,0.00118833500201709,a,0.0697994986098657,0.0194334576225416,a,0.0160199944909792,0.00527317129991395,a,,,a,0.0752699774795708,0.00161426284358806,0.00182885437047941,0.000990478483800193,0.0617953400576446,0.0179557361656438,0.014182924333381,0.00481923646400475,,,0.0619269831358824,0.00492293125819849,0,4,1,,5,0,0,2,8,0,2,,,4,6
ARE,f,0.153999996185303,0.00200000002980232,,,0.0329081647250117,,,,1.02988303748725,0.109843822862378,2371357,2140489,0.787856471995342,0.703949470752599,0.950637709626333,0.0795442575423275,,,,,f,,,f,0.0709935252448072,0.0217862599845283,f,0.00463599721669878,0.00154172385980487,f,,,f,,,,,0.0731150274210498,0.0238740696415622,0.00477453489531617,0.00167603512678813,,,,,,1,0,,,,,0,2,0,0,,,,
ARE,m,0.15,0.00800000011920929,,,0.03392857191514,,,,0,0.0885099756108494,6010552,5759186,0.791920680738528,0.703949470752599,0.950637709626333,0.0799545917573338,,,,,m,,,m,0.0692642236328418,0.0218617009430912,m,0.0182622525923386,0.00599899540194155,m,,,m,,,,,0,0.0064286926312123,0,0.00170136760251673,,,,,,0,0,,,,,0,0,0,0,,,,
ARG,a,0.0969999980926514,0.0680000019073486,0.0390000009536743,0.225,0.0196428566562886,,,,40.3416496735817,3.14472005559685,45036032,34382132,30.4176,25.5983990180335,35.646150607617,2.56484693877551,0.00310682429271693,0.000133705113073344,20.4194612131798,8.72131426707541,a,0.0562784203446417,0.024243331813916,a,0.0460504810964696,0.0141608176745272,a,0.134969511332371,0.0395075068866991,a,0.111730047669902,0.0415741013248051,a,0.0790169862298121,0.00168775859566257,1.71185447867517,0.753986837406186,1.85775237569367,0.591020290183409,5.44489274278502,1.6540187737418,4.50737444111178,1.71855702567701,2.40350708034393,0.209112373457,770,638,1872,1549,1082,255,1565,228,1256,709,3589,423,3394,905,1274
ARG,f,0.095,0.03,,0.177000007629395,0.0265306124881822,,,,32.8122929022801,3.57422550588478,19234286,17557780,25.1290530318694,25.5983990180335,35.646150607617,2.73729429859495,,,,,f,,,f,0.0450752307595687,0.0163056013487236,f,0.0648883311598881,0.0204011790192082,f,0.0903506803876069,0.0343245361407374,f,,,,,1.47902167432083,0.561786016741273,2.1291349279584,0.712190685846269,2.96461298879845,1.17805526506631,,,,259,373,520,,,,93,510,155,686,175,1049,,
ARG,m,0.0989999961853027,0.108000001907349,,0.272999992370605,0.0285714268684387,,,,48,5.27954133928233,18588208,16824352,36.1055706103803,25.5983990180335,35.646150607617,3.93296048418419,,,,,m,,,m,0.0468616439270218,0.0172545174457556,m,0.197447114439761,0.0538799753748604,m,0.131996070998352,0.0481252232445787,m,,,,,2.24935890849705,0.869167596840561,9.47746149310852,2.80289320692862,6.3358114079209,2.42617922668497,,,,378,1594,1065,,,,131,754,742,2766,373,2114,,
ARM,a,0.115,0.0569999980926514,0.0340000009536743,0.238999996185303,0.0224489776455626,,,,26.9467957482587,3.66333035093168,2805608,2234860,27.452,20.2075435141287,35.788756956509,3.98219387755102,0.00224796074775329,0.000140803131096591,20.4194612131798,8.72131426707541,a,0.0414835125774684,0.0182092126795312,a,0.0540993138520065,0.0162535292732024,a,0.115886402098878,0.0346129888634981,a,0.11775163021405,0.0435534923188812,a,0.0695919213397982,0.00150164983257371,1.13880538727666,0.531438535701326,1.45780316049096,0.484405786056795,3.12276720735904,1.03259389381832,3.17302912840249,1.26052809936167,1.91043742462014,0.280241568616296,31,32,69,70,53,9,67,11,64,25,136,19,155,39,70
ARM,f,0.12,0.0220000004768372,,0.0139999997615814,0.0318877563184621,,,,12.2507906471963,2.10230314827137,1359677,1269236,10.3136567011902,20.2075435141287,35.788756956509,1.66124461412213,,,,,f,,,f,0.0562090540444118,0.0195456029589549,f,0.0485083374797641,0.0154928492099227,f,0.00790628207830239,0.00323392968758967,f,,,,,0.688605353575032,0.270163111262672,0.594265487108136,0.217909430064778,0.0968582065389627,0.0434982154142527,,,,8,7,1,,,,3,17,2,14,0,2,,
