year,ghiv,hincome,iso3,g.whoregion,newinc,c.newinc,newrel.hivpos,newrel.hivtest,newrel.art,hivtest.f,hivtest.p,hivtest.pos.f,hivtest.pos.p,hiv.art.f,hiv.art.p,newrel.tbhiv.flg,c.notified,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.sentin.prev,tbhiv.sentin.yr,hivtest.coverage,tbhiv.surv,tbhiv.surv.lo,tbhiv.surv.hi,tbhiv.sentin,tbhiv.sentin.lo,tbhiv.sentin.hi,tbhiv.routine,tbhiv.routine.ok,tbhiv.routine.sd,tbhiv.surv.sd,tbhiv.sentin.sd,tbhiv,tbhiv.sd,itbhiv,inc,inc.sd,source.inc,pop,inc.hat,newinc.hat,mort.hat,mort.nh.hat,mort.h.hat,g.income,g.gbd,g.mdr,g.hbc,g.hbmdr,g.hbtbhiv,imp.newinc,inc.md,inc.md.lo,inc.md.hi,inc.lo,inc.hi,inc.rmd,inc.rmd.lo,inc.rmd.hi,hiv.num,hiv.lo.num,hiv.hi.num,mort.hiv.num,mort.hiv.lo.num,mort.hiv.hi.num,hiv,hiv.lo,hiv.hi,hiv.sd,mort.hiv,mort.hiv.lo,mort.hiv.hi,mort.hiv.sd,inc.h,inc.h.sd,inc.nh,inc.nh.sd,otbhiv,otbhiv.sd,inc.h.md,inc.h.md.lo,inc.h.md.hi,inc.h.lo,inc.h.hi,inc.h.rmd,inc.h.rmd.lo,inc.h.rmd.hi,fi.h,fi.h.sd,fi.nh,fi.nh.sd,irr,irr.sd,e.irr,e.tbhiv,e.tbhiv.sd,inc.nh.lo,inc.nh.hi,tbhiv.lo,tbhiv.hi
2016,FALSE,FALSE,BGD,SEA,139.092280801485,222248,87,4103,69,,,,,,,1,223921,,,,,0.0183234265656191,,,,,,,0.0212039970753108,,,,,0.00190754035666363,0.000478779007515641,,221.178623062036,33.1968478304117,Prevalence survey,159784568,,,,,,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,139.092280801485,,,,160.943479211458,290.816479673833,,,,11380,10812.4675167588,11961.8436666379,473,425.582187679843,522.886220508123,7.12208953745771e-05,6.76690349518534e-05,7.48623212889863e-05,1.8350220247788e-06,0.296023580950571,0.266347490878996,0.327244506182927,0.0155349528836557,0.421907149522126,0.124404515760192,220.756715912514,33.1336965379291,0.00190754035666363,0.000478779007515641,,,,0.214424647883071,0.698428649091771,,,,0.0592785626898145,0.0175339762631215,0.00220772439524074,0.000331360565200203,27.5774962998481,11.7785679758702,25.0698363064516,0.00194675005024299,0.000831935092616451,160.636203994256,290.262141189772,0.00108736593405298,0.00295389853008816
2017,FALSE,FALSE,BGD,SEA,149.96789373428,242639,89,3980,84,,,,,,,0,244201,,,,,0.0162980495575366,,,,,,,0.0223618090452261,,,,,0.00192071809607462,0.000481946920164913,,221.178623062036,33.1968478304117,Prevalence survey,161793964,,,,,,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,149.96789373428,,,,160.943479211458,290.816479673833,,,,12105,11520.7987233879,12703.4453823372,478,426.792981036661,532.066205299046,7.48173769943606e-05,7.12066039953621e-05,7.85161885417261e-05,1.86468993529695e-06,0.295437473798466,0.263787950109598,0.328854174868381,0.0165985267241794,0.424821783780119,0.125237056609239,220.753801278256,33.1332613782201,0.00192071809607462,0.000481946920164913,,,,0.215942635573676,0.703187239634352,,,,0.0568164357108345,0.0167987481957878,0.0022077031873519,0.000331357405099672,25.3060328048184,10.8084078536454,23.0049201379454,0.00193223450870918,0.000825705543740892,160.634079424798,290.258314152326,0.00109507989005741,0.00297396851543314
2018,FALSE,FALSE,BGD,SEA,163.206586194598,267143,67,2778,63,,,,,,,0,268596,,,,,0.0103426707769289,,,,,,,0.0241180705543557,,,,,0.00193397451601409,0.000485169762138723,,221.178623062036,33.1968478304117,Prevalence survey,163683958,,,,,,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,163.206586194598,,,,160.943479211458,290.816479673833,,,,12777,12149.9141550796,13419.6412534414,432,376.746471116847,490.979108282796,7.80589628703871e-05,7.42278858816426e-05,8.19850730481566e-05,1.97887427717194e-06,0.263923236753598,0.230167009473736,0.299955544991646,0.0178031978362013,0.427753820489064,0.12608150264405,220.750869241547,33.1328236620238,0.00193397451601409,0.000485169762138723,,,,0.217460221567104,0.707991355687517,,,,0.0548340268799399,0.0162117164981788,0.00220768102171502,0.00033135410180657,25.3066041947972,10.8086518988493,23.0054395706408,0.00190801907230539,0.000815363656956978,160.631942100635,290.254464357828,0.00110278739065391,0.002994244699644
2019,FALSE,FALSE,BGD,SEA,176.173064172526,291595,120,9678,116,,,,,,,0,292942,,,,,0.0330372565217688,,,,,,,0.0123992560446373,,,,,0.001950508046648,0.000489248846967911,,221.178623062036,33.1968478304117,Prevalence survey,165516222,,,,,,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,176.173064172526,,,,160.943479211458,290.816479673833,,,,13415,12749.5126193993,14097.1776022603,426,367.954442660568,488.234489761347,8.10494574966797e-05,7.70287798098686e-05,8.5170972560383e-05,2.07708998737612e-06,0.257376585118044,0.222307178241761,0.29497682091931,0.018538174152436,0.431410684029026,0.12714616262477,220.747212378007,33.1322778043294,0.001950508046648,0.000489248846967911,,,,0.219337323680583,0.714011370968083,,,,0.0532630363065896,0.0157466742599192,0.00220765105270976,0.000331349633783085,23.6849258903392,10.116020198844,21.531222723961,0.00187277093404155,0.000800343128685798,160.629276300012,290.249663005533,0.00111231344099689,0.00301967608098377
2020,FALSE,FALSE,BGD,SEA,137.426647397314,230081,84,6536,82,,,,,,,0,230880,,,,,0.0283090783090783,,,,,,,0.0128518971848225,,,,,0.001950508046648,0.000489248846967911,,221.178623062036,33.1968478304117,Country model,167420951,221.17862306204,194.248821544469,19.712889864025,19.6346064694004,0.0783084114293579,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,137.426647397314,217.2661,165.4854,277.0327,160.943479211458,290.816479673833,,,,14004,13293.3033105819,14732.9416900958,471,409.985474163824,536.185119784479,8.36454453063046e-05,7.94004766499137e-05,8.79993907697717e-05,2.19360054078009e-06,0.281326797624032,0.24488301596365,0.320261661746551,0.019229246373189,0.430217769933663,0.123777347404847,220.747212378007,33.1322778043293,0.00196977216710843,0.000494044717451141,,,,0.222873201978445,0.704608213978088,,,,0.0514688696505537,0.0148592057775218,0.00220765678422549,0.000331350494038311,21.7393734056114,9.28505926088114,19.762582025494,0.00182647964229169,0.000780640747215995,160.629276300012,290.249663005533,0.00111231344099689,0.00301967608098377
2021,FALSE,FALSE,BGD,SEA,181.098127874831,306701,106,19656,102,,,,,,,0,307561,,,,,0.0639092732823733,,,,,,,0.00539275539275539,,,,,0.001950508046648,0.000489248846967911,,221.178623062036,33.1968478304117,Country model,169356251,221.17862306204,210.708911565256,16.3511967170873,16.2858068738215,0.0654259739301847,LMC,ASIA_SOUTH,SEA,TRUE,TRUE,FALSE,181.098127874831,226.7927,175.3979,284.4909,160.943479211458,290.816479673833,,,,14513,13765.8634565597,15279.6005783053,474,411.576201333019,540.766835838253,8.56950948920096e-05,8.12834682822524e-05,9.0221651034926e-05,2.28014866139633e-06,0.279883380271567,0.243023920819444,0.319307278382215,0.0194600401945845,0.431410684029026,0.12714616262477,220.747212378007,33.1322778043293,,,,,,0.219337323680583,0.714011370968083,,,,0.0503781587585341,0.0148973835796669,0.00220766130953696,0.000331351173251767,20.4194612131798,8.72131426707541,18.5626912796712,0.0017693039646244,0.000756323033160728,160.629276300012,290.249663005533,0.00111231344099689,0.00301967608098377
2000,FALSE,FALSE,BGR,EUR,41.3574684437823,3349,,,,,,,,,,,3349,,,,,,,,,,,,,,,,,0.000567505823218274,0.000244913500622964,,52.3415309746209,17.0162503166963,"Case notifications,
Standard adjustment",8097691,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,41.3574684437823,,,,24.488687743463,90.5862018772181,,,,1217,1028.89200808942,1420.66435475107,69,54.3686004663464,85.3484677232185,0.000150289755437692,0.000127059924624121,0.000175440672501714,1.23420275197941e-05,0.852094751454458,0.671408682627509,1.05398523755992,0.0975960599317381,0.029704123624257,0.0165817029924524,52.3118268509966,17.0065988375583,0.000567505823218274,0.000244913500622964,,,,0.00657890229204779,0.0699260314577318,,,,0.00198978610527922,0.0011151904450793,0.00052319689972378,0.000170091551515853,59.3361707340465,25.3429503831593,53.9406504194654,0.008420100169577,0.00364730796839065,24.4747846342504,90.5348084925098,0.000193647625333498,0.00113863172045942
2001,FALSE,FALSE,BGR,EUR,48.0655543469332,3862,,,,,,,,,,,3862,,,,,,,,,,,,,,,,,0.000715048891516229,0.000314122008535409,,60.8710454310464,23.014023058267,"Case notifications,
Standard adjustment",8034860,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,48.0655543469332,,,,24.4610619373935,113.577097968836,,,,1285,1095.54573751559,1489.33865822313,71,56.7887550502676,86.774305207007,0.000159928113246528,0.000136349076090385,0.000185359627700187,1.25026917371945e-05,0.883649497315448,0.706779645821678,1.07997283346576,0.0952023437867558,0.0435257735609038,0.0262426480965034,60.8275196574855,22.9975759917154,0.000715048891516229,0.000314122008535409,,,,0.0081368250715435,0.107999271152209,,,,0.00273821696006409,0.00165463918304821,0.000608372492534851,0.000230012545515368,47.3374159651725,20.2181868029442,43.0329590661143,0.00769721397731572,0.00333161109119301,24.4435631374979,113.495911367657,0.000238060860997028,0.00144941438358713
2002,FALSE,FALSE,BGR,EUR,41.8191781371594,3335,,,,,,,,,,,3335,,,,,,,,,,,,,,,,,0.00101867271347327,0.000447829475411445,,52.9954456015973,17.4440819804334,"Case notifications,
Standard adjustment",7974810,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,41.8191781371594,,,,24.5153234744548,92.2594803269084,,,,1355,1162.83485892073,1561.64146363715,75,60.2972982187373,91.2826347072551,0.00016991000412549,0.000145813487584122,0.000195821776774262,1.27572166301377e-05,0.940461277447362,0.756096988125576,1.14463710994062,0.0991173780140406,0.0539850143727041,0.0306601486188442,52.9414605872246,17.4263300820517,0.00101867271347327,0.000447829475411445,,,,0.0115335464020553,0.128566720270305,,,,0.00319518243463836,0.001820193875056,0.000529504574082803,0.000174292915061357,41.4047923522472,17.6843160794993,37.6397971479076,0.00721512944654988,0.00312011542616783,24.4903296940727,92.1655458421538,0.000338759495494326,0.00206568860552811
2003,FALSE,FALSE,BGR,EUR,41.2112599316547,3263,,,,,,,,10,,,3263,,,,,,,,,,,,,,,,,0.00146945743567951,0.000642100334152026,,52.2628149126905,16.9651075628476,"Case notifications,
Standard adjustment",7917739,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,41.2112599316547,,,,24.4851391525361,90.3857658596315,,,,1422,1223.91446493403,1634.72201196777,82,65.8786164291496,99.8593516020411,0.000179596725782449,0.000154578783783354,0.000206463235523142,1.32358295254561e-05,1.03564919227572,0.832038242598672,1.2612104491199,0.10948270574521,0.0767979819829952,0.043200481091509,52.1860169307075,16.9402148004486,0.00146945743567951,0.000642100334152026,,,,0.0167414387923674,0.181719571286019,,,,0.0042993599224527,0.00242597174638749,0.000521953910611886,0.000169432577681548,36.3297796176753,15.5167377822305,33.0262623612281,0.00696582095263228,0.00300936479180037,24.4491148065851,90.2530437018832,0.000492730141140456,0.00296927386693434
2004,FALSE,FALSE,BGR,EUR,38.4599932157843,3025,,,,19,,,,,,,3232,,,,,0.00587871287128713,,,,,,,,,,,,0.00203732134808385,0.000883628643185305,,48.8241529937518,14.8060925020006,"Case notifications,
Standard adjustment",7865316,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,38.4599932157843,,,,24.2562693645919,81.8356777645552,,,,1496,1296.61239594675,1709.43613573907,79,63.365666133769,96.3322578079227,0.000190202148267152,0.000164851913889633,0.000217338519614351,1.33894402358976e-05,1.00440974018081,0.805634079212697,1.22477288653021,0.106923165132019,0.0994704891962824,0.0542434220385412,48.7246825045555,14.7759965087321,0.00203732134808385,0.000883628643185305,,,,0.0230961905305345,0.23054988389372,,,,0.00525564109151216,0.00287554692708139,0.000487339518156229,0.000147788074840723,35.9710415838393,15.3635179151648,32.7001448744417,0.00691928671301509,0.0029863713636605,24.2067625071179,81.6691266039935,0.000690058670700584,0.00409893726271087
2005,FALSE,FALSE,BGR,EUR,41.2656276770676,3225,,,,23,23,,,,,,3302,,,,,0.00696547546941248,,,,,,,,,,,,0.00276176403229592,0.00119018224479424,,52.4426808815548,17.0820816060777,"Case notifications,
Standard adjustment",7815221,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,41.2656276770676,,,,24.4931392824149,90.8440728921495,,,,1570,1364.67523242177,1789.50033712621,83,66.4206159422746,101.398759981113,0.000200890032412391,0.000174617612530954,0.000228976293456859,1.38670104402819e-05,1.06203010765786,0.849887878311754,1.29745224071223,0.114174582245019,0.144834309815851,0.0808379891356216,52.297846571739,17.035031406795,0.00276176403229592,0.00119018224479424,,,,0.0320884274557828,0.340916357183498,,,,0.00724398424906596,0.00405464953729007,0.000523083548088926,0.000170384542778703,35.049927385837,14.9701027161654,31.8627888682117,0.0071122506856669,0.00306704020365119,24.4253369760993,90.5935077660093,0.000943406669814969,0.00553579280934411
2006,FALSE,FALSE,BGR,EUR,40.3809614068233,3136,,,,247,,6,6,0,,,3232,,,,,0.0764232673267327,,,,,,,0.0242914979757085,,,,,0.00355308973519399,0.00152137982692007,,51.3692795982713,16.3899629982362,"Case notifications,
Standard adjustment",7766036,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,40.3809614068233,,,,24.4396439277658,88.1253837985095,,,,1646,1429.60565929154,1877.41813941179,88,70.9183033783201,106.897164362667,0.000211948541057497,0.000184084346156976,0.000241747287729775,1.47099340746937e-05,1.13313922315065,0.913185354514454,1.37647011116955,0.11818488690181,0.182519660044928,0.10060244812722,51.1867599382263,16.3319340141091,0.00355308973519399,0.00152137982692007,,,,0.0414836155376297,0.426046289323137,,,,0.0086529883068639,0.00478403063590632,0.000511976112083081,0.000163353962948855,37.1627223954881,15.872494266496,33.7834644968159,0.0075422271915193,0.00325033900651365,24.3525445371385,87.8127903939318,0.00122398682258956,0.00709543158998216
2007,FALSE,FALSE,BGR,EUR,36.8958036853052,2848,,,,199,199,0,6,0,0,,3052,,,,,0.0652031454783748,,,,,,,0,,,,,0.00437587265880497,0.00186157442423174,,46.9863099578641,13.7124071934404,"Case notifications,
Standard adjustment",7719035,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,36.8958036853052,,,,24.0726050370298,77.4296238042639,,,,1722,1496.8656625346,1962.6720650057,93,75.8677765732665,111.85022610986,0.000223084880428706,0.000193918755716822,0.00025426391576223,1.53941734809713e-05,1.204813814162,0.98286607812073,1.44901825305701,0.118916371157215,0.205606109082753,0.109099959646938,46.7807038487814,13.65270750423,0.00437587265880497,0.00186157442423174,,,,0.0503310087523752,0.46809569792174,,,,0.00926038406772523,0.00493169422995578,0.000467911422562478,0.00013655753915461,36.8913512949491,15.7565895114148,33.5367695468885,0.00808450838387991,0.00348218227576922,23.9668560626351,77.0915575865397,0.00152013778986141,0.00870584761036941
2008,FALSE,FALSE,BGR,EUR,38.3587410046212,2944,,,,732,520,0,0,0,0,,3151,,,,,0.232307204062202,,,,,,,0,,,,,0.0051301597533474,0.00216468742155032,,48.9096081330299,14.8579669897557,"Case notifications,
Standard adjustment",7674913,,,,,,UMC,EUR_CENT,EEU,FALSE,FALSE,FALSE,38.3587410046212,,,,24.2637470452646,82.0433076180594,,,,1802,1567.17545744228,2052.97410902262,96,78.3882612199132,115.369737722363,0.000234790935089427,0.000204194556660418,0.000267491515411656,1.61471833549077e-05,1.25082851102026,1.02135700065803,1.50320580470896,0.122920613278299,0.250914103196062,0.134364486090387,48.6586940298338,14.7821573909721,0.0051301597533474,0.00216468742155032,,,,0.0603612543226225,0.574660585781253,,,,0.0107372477637452,0.00576972968428313,0.000486701213458283,0.000147856289435082,37.1959982418111,15.8867066450821,33.8137145242733,0.00858284371976963,0.00369476363826356,24.1387216599415,81.6234495658146,0.00180114511226037,0.0101588525141927
