group.type,group.name,group.description,year,e.rr.pct.new,e.rr.pct.new.lo,e.rr.pct.new.hi,e.rr.pct.new.se,e.rr.pct.ret,e.rr.pct.ret.lo,e.rr.pct.ret.hi,e.rr.pct.ret.se,e.inc.rr.num,e.inc.rr.num.lo,e.inc.rr.num.hi,e.inc.rr.100k,e.inc.rr.100k.lo,e.inc.rr.100k.hi,e.mdr.pct.rr,e.inc.mdr.num,e.inc.mdr.num.lo,e.inc.mdr.num.hi,e.rr.in.notified.pulm,e.rr.in.notified.pulm.lo,e.rr.in.notified.pulm.hi,e.rr.in.notified.labconf.pulm,e.rr.in.notified.labconf.pulm.lo,e.rr.in.notified.labconf.pulm.hi
g_whoregion,AMR,WHO/PAHO Region of the Americas,2018,3.7,2.5,4.9,0.63,11,4.1,17,,12000,8700,15000,1.2,0.86,1.5,,,,,8200,6000,10000,6300,4700,7800
g_whoregion,AMR,WHO/PAHO Region of the Americas,2019,3.7,2.4,5,0.65,10,3.4,18,,12000,8500,15000,1.2,0.84,1.5,,,,,8100,5800,10000,6300,4600,8000
g_whoregion,AMR,WHO/PAHO Region of the Americas,2020,3.7,2.4,5.1,0.69,10,2.6,18,,12000,8200,15000,1.1,0.8,1.5,,,,,6900,4600,9300,5300,3600,7100
g_whoregion,AMR,WHO/PAHO Region of the Americas,2021,3.8,2.3,5.2,0.72,10,2,19,,13000,8700,17000,1.2,0.85,1.6,,,,,7500,4800,10000,5800,3800,7900
g_whoregion,EMR,WHO Eastern Mediterranean Region,2015,5.7,1.8,9.6,2,13,1.3,26,,48000,29000,66000,6.9,4.3,9.5,,,,,20000,15000,25000,9100,6000,12000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2016,5.8,1.9,9.8,2,12,1.8,22,,49000,30000,68000,7,4.2,9.7,,,,,22000,16000,29000,12000,8200,15000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2017,6.1,1.8,10,2.2,11,2,19,,51000,29000,72000,7.1,4.1,10,,,,,23000,15000,31000,13000,8700,17000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2018,6.3,1.8,11,2.3,9.7,2,17,,53000,29000,77000,7.3,4,11,,,,,24000,15000,32000,13000,8300,18000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2019,6.6,1.7,11,2.5,8.9,2.1,16,,56000,29000,82000,7.5,3.9,11,,,,,24000,14000,34000,14000,7800,20000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2020,7,1.8,12,2.7,8.4,2.1,15,,58000,29000,87000,7.7,3.9,11,,,,,21000,12000,31000,13000,6900,19000
g_whoregion,EMR,WHO Eastern Mediterranean Region,2021,7.3,1.7,13,2.8,7.9,2,14,,63000,30000,95000,8.2,3.9,12,,,,,26000,14000,38000,16000,8400,23000
g_whoregion,EUR,WHO European Region,2015,38,25,51,6.7,59,25,93,,126000,87000,166000,14,9.5,18,,,,,87000,86000,87000,22000,22000,22000
g_whoregion,EUR,WHO European Region,2016,39,26,52,6.5,59,27,91,,122000,86000,158000,13,9.4,17,,,,,81000,80000,81000,51000,51000,51000
g_whoregion,EUR,WHO European Region,2017,40,27,52,6.4,58,28,88,,118000,85000,151000,13,9.2,16,,,,,79000,79000,79000,50000,49000,50000
g_whoregion,EUR,WHO European Region,2018,40,28,52,6.1,58,30,85,,113000,84000,142000,12,9.1,15,,,,,76000,76000,76000,48000,48000,49000
g_whoregion,EUR,WHO European Region,2019,41,30,53,5.8,57,32,82,,109000,83000,134000,12,9,14,,,,,76000,75000,76000,47000,46000,47000
g_whoregion,EUR,WHO European Region,2020,45,32,57,6.4,57,32,83,,108000,82000,133000,12,8.9,14,,,,,60000,60000,61000,37000,37000,38000
g_whoregion,EUR,WHO European Region,2021,46,36,55,5,57,41,72,,110000,95000,126000,12,10,14,,,,,58000,58000,59000,37000,37000,37000
g_whoregion,SEA,WHO South-East Asia Region,2015,3.3,1.4,5.1,0.95,15,1.7,28,,184000,120000,248000,9.5,6.2,13,,,,,103000,97000,110000,30000,27000,34000
g_whoregion,SEA,WHO South-East Asia Region,2016,3.2,1.5,4.9,0.86,14,2.4,26,,179000,125000,234000,9.1,6.4,12,,,,,121000,115000,126000,64000,60000,67000
g_whoregion,SEA,WHO South-East Asia Region,2017,3.2,1.6,4.8,0.81,14,2.7,26,,174000,126000,223000,8.8,6.3,11,,,,,92000,88000,96000,64000,61000,66000
g_whoregion,SEA,WHO South-East Asia Region,2018,3.1,1.6,4.7,0.79,14,2.8,25,,170000,124000,216000,8.5,6.2,11,,,,,113000,109000,117000,70000,68000,73000
g_whoregion,SEA,WHO South-East Asia Region,2019,3.1,1.6,4.6,0.77,14,2.9,25,,166000,122000,209000,8.2,6,10,,,,,119000,114000,123000,66000,63000,69000
g_whoregion,SEA,WHO South-East Asia Region,2020,3.1,1.6,4.5,0.75,14,3,24,,164000,123000,204000,8,6,10,,,,,89000,84000,93000,52000,49000,55000
g_whoregion,SEA,WHO South-East Asia Region,2021,3.1,1.6,4.5,0.74,13,3.2,24,,181000,137000,224000,8.8,6.7,11,,,,,95000,89000,101000,62000,59000,66000
g_whoregion,WPR,WHO Western Pacific Region,2015,4.6,2.7,6.5,0.97,23,11,34,,93000,76000,109000,4.9,4,5.8,,,,,64000,62000,66000,15000,15000,16000
g_whoregion,WPR,WHO Western Pacific Region,2016,4.4,2.6,6.2,0.92,22,11,34,,88000,72000,104000,4.7,3.8,5.5,,,,,65000,63000,67000,28000,27000,29000
g_whoregion,WPR,WHO Western Pacific Region,2017,4.2,2.5,5.9,0.89,22,11,34,,85000,69000,100000,4.4,3.6,5.3,,,,,63000,61000,65000,29000,28000,29000
g_whoregion,WPR,WHO Western Pacific Region,2018,4,2.4,5.7,0.85,22,11,33,,81000,66000,95000,4.2,3.4,5,,,,,65000,63000,66000,31000,30000,31000
g_whoregion,WPR,WHO Western Pacific Region,2019,3.8,2.3,5.4,0.81,22,10,33,,76000,62000,90000,4,3.2,4.7,,,,,62000,60000,64000,32000,31000,33000
g_whoregion,WPR,WHO Western Pacific Region,2020,3.7,2.2,5.3,0.79,21,9.8,33,,72000,59000,86000,3.7,3,4.4,,,,,49000,47000,50000,29000,28000,29000
g_whoregion,WPR,WHO Western Pacific Region,2021,3.5,2,5,0.76,22,9,34,,73000,57000,88000,3.8,3,4.6,,,,,48000,46000,50000,28000,27000,29000
global,global,Global,2015,4.5,3.3,5.7,0.61,21,10,31,,558000,475000,641000,7.5,6.4,8.7,,,,,324000,314000,334000,97000,91000,103000
global,global,Global,2016,4.5,3.4,5.6,0.57,20,11,30,,541000,468000,614000,7.2,6.2,8.2,,,,,337000,327000,348000,186000,179000,192000
global,global,Global,2017,4.4,3.4,5.5,0.55,20,11,29,,529000,461000,597000,7,6.1,7.9,,,,,307000,296000,318000,188000,182000,194000
global,global,Global,2018,4.4,3.3,5.5,0.54,20,11,28,,518000,452000,583000,6.8,5.9,7.6,,,,,329000,317000,341000,198000,191000,205000
global,global,Global,2019,4.4,3.3,5.4,0.53,19,11,28,,506000,443000,570000,6.5,5.7,7.4,,,,,334000,321000,348000,194000,186000,203000
global,global,Global,2020,4.4,3.3,5.4,0.53,19,11,27,,500000,438000,562000,6.4,5.6,7.2,,,,,272000,259000,285000,165000,157000,174000
global,global,Global,2021,4.3,3.3,5.4,0.54,18,10,27,,529000,464000,593000,6.7,5.9,7.5,,,,,281000,265000,298000,177000,167000,188000
