iso3,scenario,hiv,measure,year,best,lo,hi
BLZ,Baseline,a,inc,2024,26.0905,22.1733,31.1866
BLZ,COVID,a,inc,2024,28.7901,23.346,36.0028
BLZ,Baseline,a,mort,2024,2.6082,2.1642,3.1038
BLZ,COVID,a,mort,2024,2.9088,2.3869,3.6065
BOL,Baseline,a,inc,2019,104.3304,68.5201,150.3462
BOL,COVID,a,inc,2019,104.3304,68.5201,150.3462
BOL,Baseline,a,mort,2019,11.1084,8.0713,15.106
BOL,COVID,a,mort,2019,11.1084,8.0713,15.106
BOL,Baseline,a,inc,2020,103.3869,67.8068,149.0524
BOL,COVID,a,inc,2020,102.5612,67.1106,149.4245
BOL,Baseline,a,mort,2020,10.9265,7.971,14.9225
BOL,COVID,a,mort,2020,12.6453,9.2189,16.8188
BOL,Baseline,a,inc,2021,102.6628,67.1654,147.8837
BOL,COVID,a,inc,2021,109.4727,71.3647,160.7744
BOL,Baseline,a,mort,2021,10.8168,7.8891,14.7597
BOL,COVID,a,mort,2021,15.7915,11.2771,21.101
BOL,Baseline,a,inc,2022,102.1334,66.5727,146.8576
BOL,COVID,a,inc,2022,116.8376,74.7849,178.8106
BOL,Baseline,a,mort,2022,10.7689,7.8237,14.6974
BOL,COVID,a,mort,2022,15.9579,11.2275,21.2705
BOL,Baseline,a,inc,2023,101.3868,66.0138,145.9482
BOL,COVID,a,inc,2023,114.6468,72.5894,175.9965
BOL,Baseline,a,mort,2023,10.713,7.7703,14.6553
BOL,COVID,a,mort,2023,12.6382,9.0249,17.134
BOL,Baseline,a,inc,2024,100.6949,65.479,145.1346
BOL,COVID,a,inc,2024,110.0957,70.2933,167.6099
BOL,Baseline,a,mort,2024,10.647,7.7207,14.6152
BOL,COVID,a,mort,2024,11.9101,8.5328,16.2458
BWA,Baseline,a,inc,2019,245.5372,189.0338,312.2974
BWA,Baseline,pos,inc,2019,120.7047,95.6726,151.6306
BWA,COVID,a,inc,2019,245.5372,189.0338,312.2974
BWA,COVID,pos,inc,2019,120.7047,95.6726,151.6306
BWA,Baseline,a,mort,2019,76.4713,59.5844,94.0742
BWA,Baseline,pos,mort,2019,47.5758,35.8399,63.0822
BWA,COVID,a,mort,2019,76.4713,59.5844,94.0742
BWA,COVID,pos,mort,2019,47.5758,35.8399,63.0822
BWA,Baseline,a,inc,2020,235.4755,186.4124,306.0911
BWA,Baseline,pos,inc,2020,115.0243,90.3626,144.8941
BWA,COVID,a,inc,2020,230.1991,182.9698,301.1649
BWA,COVID,pos,inc,2020,114.0242,89.0467,143.0549
BWA,Baseline,a,mort,2020,72.6177,56.8021,89.9565
BWA,Baseline,pos,mort,2020,45.6334,33.4491,58.7075
BWA,COVID,a,mort,2020,76.5481,60.2114,94.7259
BWA,COVID,pos,mort,2020,47.831,35.1552,62.2918
BWA,Baseline,a,inc,2021,229.4467,179.7865,300.4178
BWA,Baseline,pos,inc,2021,111.797,81.659,141.5592
BWA,COVID,a,inc,2021,234.7943,185.5412,307.4027
BWA,COVID,pos,inc,2021,114.7321,82.8674,147.9683
BWA,Baseline,a,mort,2021,70.3432,53.7589,87.5638
BWA,Baseline,pos,mort,2021,43.1551,30.142,56.8133
