iso3,inc.bc,inc.bc.sd,inc.bc.lo,inc.bc.hi
GTM,19.6987701628926,2.71664334640034,14.7373928912255,25.3687362238957
GUM,29.6326460369583,2.26780454364477,25.3543792425544,34.2394464095868
GUY,60.9803474368661,8.18044053564825,46.0096368543425,78.0259156758636
HKG,35.7853800474747,2.7386770444496,30.6187891035725,41.3486949284311
HND,23.8925014666588,3.4545508218654,17.6063351014507,31.1231902588035
HRV,2.55540377749492,0.195566615624611,2.18646653138355,2.95268009967764
HTI,115.572205218444,15.7831270342062,86.724749205377,148.492569211014
HUN,2.8103830259534,0.215080333618882,2.40463302921492,3.24729970460787
IDN,259.258042786591,13.5701086589409,233.338390881154,286.519446707038
IND,126.556386909479,10.1560865105142,107.432682365475,147.221333345058
IRL,2.83753584077304,0.217158355161202,2.42786564302298,3.27867383216968
IRN,7.28756723204332,1.01016703385272,5.44343170193538,9.3965640345387
IRQ,10.6675022514158,0.826376910683564,9.10928607856235,12.3469204505251
ISL,1.88605642136841,0.144341052655746,1.61375648521284,2.17927260259589
ISR,1.4143158362914,0.108238456859036,1.21012361878429,1.63419279943086
ITA,3.15739847734428,0.241637638572266,2.70154794783769,3.64826391193918
JAM,2.47447739559675,0.344873234336599,1.84514621309846,3.19472951391245
JOR,1.59826662057403,0.235555462730167,1.17029205849886,2.09190050351059
JPN,6.20308736870716,0.474726074135753,5.30751338639207,7.16745024399745
KAZ,56.2720110424089,9.62115454190756,39.0168818001855,76.6349371959943
KEN,174.304307079025,39.251227066576,106.039298601043,259.223368351101
KGZ,81.4117564976518,7.58839164102173,67.219078350646,96.9423847811009
KHM,135.383552509448,23.9801431657361,92.520613581177,186.263804051881
KIR,243.156560424143,31.7063740904428,185.007390845903,309.109140997709
KNA,0,0,,
KOR,27.4824152645579,0.97450401065652,25.6053502125366,29.4249143915531
KWT,10.3983209952283,0.795789872083797,8.89705557551302,12.0148933812693
LAO,107.338463716584,22.3398523792479,68.1035349264907,155.344141655947
LBN,4.56717184802036,0.349528457756661,3.90778443353201,5.27720755763197
LBR,178.537970767478,36.7280178282759,113.939548478906,257.380414726637
LBY,26.7581297149758,5.88678853729467,16.4907520338329,39.4695077756443
LCA,1.23222343226438,0.134299767580133,0.983126108583159,1.50902416601931
LKA,35.8275852550349,5.39172078376017,26.0479062928439,47.1412536963897
LSO,447.918185070885,96.8067313089219,278.617184576264,656.549487966425
LTU,18.9914718924915,1.45342897136415,16.2495549061941,21.9439673061477
LUX,4.02399825779556,0.307959050341497,3.44303188543904,4.64958956600053
LVA,11.7673629749301,0.900563492979347,10.0684402067292,13.5967722395206
MAC,37.3348747983104,2.85726082640131,31.9445690588259,43.1390761107904
MAR,39.893967597536,3.33137361161844,33.6318356354063,46.6826006920262
MCO,0,0,,
MDA,61.0759702292484,6.1495581360883,49.6194352550578,73.7038573181447
