variable,mean,sd,rhat,ess_bulk
"alpha[4,1]",-0.00416457168960145,0.0143192967530196,1.00193159878596,251.01387401068
"alpha[5,1]",-0.0394603364991524,0.0200971042791166,1.00696941739968,345.077866424211
"alpha[6,1]",0.0518027139420813,0.0241957606109981,0.998736695358555,619.164125861145
"alpha[7,1]",-0.0417597234605264,0.0165515847678551,1.00697713944564,334.520267034948
"alpha[1,2]",0.0105131534079604,0.0113994092843678,1.00949046542891,564.11774243771
"alpha[2,2]",-0.0470709378507697,0.0183495905487068,1.01393661594409,203.950129816299
"alpha[3,2]",0.00821970725666015,0.0205332660574156,1.00038430036301,569.396885935733
"alpha[4,2]",-0.0135632214753921,0.0176209311757545,1.00144933973164,449.149569040403
"alpha[5,2]",-0.0132500874369087,0.0257650871234387,1.00021001961407,774.527046984953
"alpha[6,2]",0.000999901924283167,0.0243314093259937,1.00229648117452,734.584833042391
"alpha[7,2]",-0.0160670911763936,0.0189701008751944,0.998695986187522,444.299746236821
"alpha[1,3]",0.0104380012280223,0.00966364303169433,1.00262237226878,210.225485050332
"alpha[2,3]",-0.0353353444426012,0.0153695247405277,1.00892577502265,205.668467531007
"alpha[3,3]",-0.00388582419078348,0.0173241611934001,1.00215290613598,335.24732020871
"alpha[4,3]",-0.015429269823353,0.0138134134898864,1.00120212495316,234.769836270392
"alpha[5,3]",-0.0251003949912869,0.0195952616361945,1.00482644468585,350.37261623567
"alpha[6,3]",0.0746781179044753,0.0256694088380718,0.999631033533753,558.816063993956
"alpha[7,3]",-0.00565622717638673,0.0159076225045678,1.00705695353419,269.090211205722
"alpha[1,4]",0.0325732767404716,0.0106318189189313,1.00639293336342,314.800058085772
"alpha[2,4]",-0.0151718203516488,0.0177436476808669,1.00265053542925,414.936452531291
"alpha[3,4]",-0.00352432195610443,0.0194314927115644,1.00272919845207,477.643883617535
"alpha[4,4]",0.00794156495362384,0.0162996003885806,1.00485614376433,275.211607722351
"alpha[5,4]",0.0202243282933116,0.0210605261838815,1.00081320310901,716.243492254007
"alpha[6,4]",0.0406695378805079,0.0277527774086988,1.0005432272392,904.439333618328
"alpha[7,4]",-0.0284625705918639,0.0180451411154911,1.00437283076336,347.963700772376
"alpha[1,5]",0.0360859814182188,0.0136827956010776,1.00066956336969,388.079871930337
"alpha[2,5]",-0.0355282236866202,0.0214995110473958,1.00146951521884,332.484918066169
"alpha[3,5]",-0.0252884064715741,0.0237909281766325,1.00151738506986,494.410873206997
"alpha[4,5]",-0.0265137548503541,0.0203784277492021,1.00693739841383,463.257205078204
"alpha[5,5]",-0.0701046303548287,0.0282343826237668,1.0013102151345,476.839874929713
"alpha[6,5]",-0.0361167967732161,0.0271664557456542,0.998753581459967,595.619644189302
"alpha[7,5]",0.00110130337616461,0.0208734390886224,1.00225673643626,559.693531831293
"alpha[1,6]",0.0448281361657009,0.00891645896198752,1.01226343356117,217.523104223061
"alpha[2,6]",-0.0281987659618039,0.0142574162188316,1.00845818745999,248.307728277383
"alpha[3,6]",-0.0358848399560171,0.0177104383324413,1.00679716131004,368.120610943306
"alpha[4,6]",-0.00259411667927752,0.0128813916836074,1.00135287085684,290.976623040226
"alpha[5,6]",0.0106812920599411,0.0189685249894633,1.00393307946878,443.180267635516
"alpha[6,6]",0.0259909510533683,0.0230067903421291,1.00427547472316,855.002640193075
"alpha[7,6]",-0.0132411640781338,0.014276018870959,1.02609922321937,211.209713654811
