variable,mean,sd,rhat,ess_bulk
"alpha[5,4]",0.0182748829729828,0.0236143318252145,1.01272850800536,151.306873214491
"alpha[6,4]",0.0391340910462067,0.0320623936667445,1.02440080878546,149.74401677437
"alpha[7,4]",-0.0288971885854998,0.0196104495392414,1.04053762659306,53.4756640342941
"alpha[1,5]",0.0484451162741216,0.0176415849090817,1.13510005395485,20.0191256784573
"alpha[2,5]",-0.0677115262997945,0.0243314391413299,1.03966280997705,63.276558042644
"alpha[3,5]",-0.0350771530842444,0.0285599720075363,1.02457653747168,50.2470106517169
"alpha[4,5]",-0.0351811605605661,0.0228052491168477,1.04270011731208,64.2666311853207
"alpha[5,5]",-0.099056275757323,0.0272803679200939,1.02542778392112,95.5392842695179
"alpha[6,5]",-0.055682930067898,0.0292442943223384,1.01739552864855,155.619571890183
"alpha[7,5]",0.0021386752683375,0.0254974922034384,1.02207750720219,64.6295653251484
"alpha[1,6]",0.0538045757264481,0.00957608907393163,1.02153446572487,105.051666020447
"alpha[2,6]",-0.0292146782600842,0.0147150744421912,1.04000224222776,83.3109407953237
"alpha[3,6]",-0.0399894220308153,0.0199968334107248,1.01649936370201,87.1738103901258
"alpha[4,6]",-0.00919502271807355,0.0158827501939346,1.05100726887086,56.2476874006934
"alpha[5,6]",0.00849047588068087,0.0198970008779995,1.01225046858667,152.758011843306
"alpha[6,6]",0.0274524691848698,0.0257521094269939,1.00829139273099,159.312419466586
"alpha[7,6]",-0.0191898193532201,0.0145599890265505,1.01032854769124,90.5245976168002
