country,measure,sex,age,cause,metric,year,val,upper,lower,iso3
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2007,437363.92,480338.16,385470.57,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2007,1475.8438,2862.1538,625.36421,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2007,52009.902,93410.236,22922.051,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2007,490849.66,526103.74,454335.26,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2008,437963.33,486760.79,381750.87,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2008,1596.8736,3180.8678,626.36925,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2008,52782.883,97914.514,21362.708,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2008,492343.09,530778.19,455937.19,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2009,420683.23,468686.14,363321.91,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2009,1674.8733,3481.3678,608.29545,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2009,52132.166,104684.22,19720.4,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2009,474490.27,508442.55,441811.56,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2010,406659.24,457470.86,338853.18,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2010,1752.4974,3776.0062,583.41176,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2010,51501.467,110003.61,17335.8,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2010,459913.2,495516.81,427496.29,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2011,399492.91,449822.46,329893.51,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2011,1869.8985,4167.8199,581.59609,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2011,52045.067,116956.03,16024.344,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2011,453407.88,487247.9,417842.5,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2012,405697.51,459411.38,330354.06,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2012,2040.3047,4687.7095,544.29132,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2012,53854.08,123623.53,15360.774,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2012,461591.89,495333.29,425246.86,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2013,408561.73,467819.96,329271.83,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2013,2228.924,5264.4129,532.2601,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2013,55931.304,127520.61,14050.752,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2013,466721.96,505145.34,431129.36,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2014,404245.97,462793.97,315548.19,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2014,2343.1995,5791.906,514.5698,IND
